role_name,model,action,permission
Inside Sales Executive,account,payment_collections,No
Inside Sales Executive,account,ageing_report,No
Inside Sales Executive,account,show,Yes
Inside Sales Executive,account,destroy,No
Inside Sales Executive,account,update,No
Inside Sales Executive,account,create,No
Inside Sales Executive,account,edit,No
Inside Sales Executive,account,new,No
Inside Sales Executive,account,index,Yes
Inside Sales Executive,account,autocomplete_supplier,Yes
Inside Sales Executive,acl_resource,index,No
Inside Sales Executive,acl_resource,new,No
Inside Sales Executive,acl_resource,edit,No
Inside Sales Executive,acl_resource,create,No
Inside Sales Executive,acl_resource,update,No
Inside Sales Executive,acl_resource,destroy,No
Inside Sales Executive,acl_resource,show,No
Inside Sales Executive,acl_role,destroy,No
Inside Sales Executive,acl_role,show,No
Inside Sales Executive,acl_role,get_resources,No
Inside Sales Executive,acl_role,save_acl_resources,No
Inside Sales Executive,acl_role,edit_acl,No
Inside Sales Executive,acl_role,get_acl,No
Inside Sales Executive,acl_role,update_acl,No
Inside Sales Executive,acl_role,index,No
Inside Sales Executive,acl_role,new,No
Inside Sales Executive,acl_role,edit,No
Inside Sales Executive,acl_role,create,No
Inside Sales Executive,acl_role,update,No
Inside Sales Executive,activity,reject_selected,No
Inside Sales Executive,activity,pending,No
Inside Sales Executive,activity,show,Yes
Inside Sales Executive,activity,destroy,No
Inside Sales Executive,activity,export_all,No
Inside Sales Executive,activity,perform_actions,No
Inside Sales Executive,activity,index,Yes
Inside Sales Executive,activity,update,No
Inside Sales Executive,activity,create,No
Inside Sales Executive,activity,edit,No
Inside Sales Executive,activity,new,No
Inside Sales Executive,activity,add_to_inquiry,No
Inside Sales Executive,activity,reject,No
Inside Sales Executive,activity,approve,No
Inside Sales Executive,activity,approve_selected,No
Inside Sales Executive,activity_approval,create,No
Inside Sales Executive,activity_approval,edit,No
Inside Sales Executive,activity_approval,new,No
Inside Sales Executive,activity_approval,index,No
Inside Sales Executive,activity_approval,show,No
Inside Sales Executive,activity_approval,destroy,No
Inside Sales Executive,activity_approval,update,No
Inside Sales Executive,activity_overseer,show,No
Inside Sales Executive,activity_overseer,destroy,No
Inside Sales Executive,activity_overseer,update,No
Inside Sales Executive,activity_overseer,create,No
Inside Sales Executive,activity_overseer,edit,No
Inside Sales Executive,activity_overseer,new,No
Inside Sales Executive,activity_overseer,index,No
Inside Sales Executive,activity_rejection,edit,No
Inside Sales Executive,activity_rejection,show,No
Inside Sales Executive,activity_rejection,destroy,No
Inside Sales Executive,activity_rejection,update,No
Inside Sales Executive,activity_rejection,create,No
Inside Sales Executive,activity_rejection,new,No
Inside Sales Executive,activity_rejection,index,No
Inside Sales Executive,address,create,No
Inside Sales Executive,address,edit_remote_uid,No
Inside Sales Executive,address,index,Yes
Inside Sales Executive,address,new,No
Inside Sales Executive,address,show,Yes
Inside Sales Executive,address,destroy,No
Inside Sales Executive,address,update,No
Inside Sales Executive,address,edit,No
Inside Sales Executive,address,warehouse_addresses,Yes
Inside Sales Executive,address_state,new,No
Inside Sales Executive,address_state,edit,No
Inside Sales Executive,address_state,create,No
Inside Sales Executive,address_state,update,No
Inside Sales Executive,address_state,index,No
Inside Sales Executive,address_state,destroy,No
Inside Sales Executive,address_state,show,No
Inside Sales Executive,application,hr,No
Inside Sales Executive,application,resolve,No
Inside Sales Executive,application,export_for_logistics,No
Inside Sales Executive,application,is_active,No
Inside Sales Executive,application,export_rows,No
Inside Sales Executive,application,allow_product_export,No
Inside Sales Executive,application,allow_activity_export,No
Inside Sales Executive,application,allow_customer_portal,No
Inside Sales Executive,application,allow_logistics_format_export,No
Inside Sales Executive,application,export_filtered_records,No
Inside Sales Executive,application,allow_export,No
Inside Sales Executive,application,scope,No
Inside Sales Executive,application,dev,No
Inside Sales Executive,application,destroy,No
Inside Sales Executive,application,autocomplete,No
Inside Sales Executive,application,accounts,No
Inside Sales Executive,application,logistics,No
Inside Sales Executive,application,cataloging,No
Inside Sales Executive,application,others,No
Inside Sales Executive,application,inside,No
Inside Sales Executive,application,sales,No
Inside Sales Executive,application,manager,No
Inside Sales Executive,application,admin,No
Inside Sales Executive,application,developer,No
Inside Sales Executive,application,manager_or_sales,No
Inside Sales Executive,application,manager_or_cataloging,No
Inside Sales Executive,application,admin_or_cataloging,No
Inside Sales Executive,application,not_logistics,No
Inside Sales Executive,application,not_sales,No
Inside Sales Executive,application,admin_or_manager,No
Inside Sales Executive,application,all_roles,No
Inside Sales Executive,application,"initialize(overseer, record)",No
Inside Sales Executive,application,show,No
Inside Sales Executive,application,update,No
Inside Sales Executive,application,edit,No
Inside Sales Executive,application,create,No
Inside Sales Executive,application,new,No
Inside Sales Executive,application,index,No
Inside Sales Executive,application_record,show,No
Inside Sales Executive,application_record,destroy,No
Inside Sales Executive,application_record,update,No
Inside Sales Executive,application_record,create,No
Inside Sales Executive,application_record,edit,No
Inside Sales Executive,application_record,new,No
Inside Sales Executive,application_record,index,No
