Inside Sales Owner,BP Reference No.,Document Date,Price Currency,Document Rate,Customer/Vendor Name,Customer Alias,Project Code,Document Number,Posting Date,MIS Date,Item No.,Item/Service Description,Quantity,USP(positive),Unit Selling Price,Freight,Tax Code,Tax Rate,TA(positive),Tax Amount,Total Selling Price,Unit cost price(positive),Unit cost price,Buying Cost,Margin,Margin (In %),Month Code
Dipali Ghanvat,4500354551,19-Nov-18,INR,1,Piramal Enterprises Ltd.,,28767,11410050,19-Nov-18,04-Dec-18,BM9O3B8,84090103 - OIL FILTER 750KVA DG P.N.-4324909,6,3753,-3753,,CSG@18,18.00%,4053.24,-4053.24,-22518,3607.8,-3607.8,21646.8,871.2,4%,201811
Dipali Ghanvat,4500354551,19-Nov-18,INR,1,Piramal Enterprises Ltd.,,28767,11410050,19-Nov-18,04-Dec-18,BM9R8T9,88515650 - FUEL FILTER-4759205-PERKINS,2,7682,-7682,,CSG@18,18.00%,2765.52,-2765.52,-15364,7301.66,-7301.66,14603.32,760.68,5%,201811
Dipali Ghanvat,4500354551,19-Nov-18,INR,1,Piramal Enterprises Ltd.,,28767,11410050,19-Nov-18,04-Dec-18,BM9G9I3,88515651 - BREATHER ELEMENT-522/37-PERKINS,4,1461,-1461,,CSG@18,18.00%,1051.92,-1051.92,-5844,1389.03,-1389.03,5556.12,287.88,5%,201811
Dipali Ghanvat,4500354551,19-Nov-18,INR,1,Piramal Enterprises Ltd.,,28767,11410050,19-Nov-18,04-Dec-18,BM9H8E0,88515652 - BREATHER CAP GASKET-331/275-PERKINS,2,2007,-2007,,CSG@18,18.00%,722.52,-722.52,-4014,1883.85,-1883.85,3767.7,246.3,6%,201811
Dipali Ghanvat,4500354551,19-Nov-18,INR,1,Piramal Enterprises Ltd.,,28767,11410050,19-Nov-18,04-Dec-18,BM9R1S7,84090109 - LID GASKET DG 750KVA P.N.-1210-1005,2,993,-993,,CSG@18,18.00%,357.48,-357.48,-1986,916.15,-916.15,1832.3,153.7,8%,201811
Dipali Ghanvat,4500354551,19-Nov-18,INR,1,Piramal Enterprises Ltd.,,28767,11410050,19-Nov-18,04-Dec-18,BM9U9L3,84090108 - FILTER ELEMENT DG 750KVA,2,2484,-2484,,CSG@18,18.00%,894.24,-894.24,-4968,2339.12,-2339.12,4678.24,289.76,6%,201811
Dipali Ghanvat,4500354551,19-Nov-18,INR,1,Piramal Enterprises Ltd.,,28767,11410050,19-Nov-18,04-Dec-18,BM9T9D0,81030559 - LUBE OIL API CG4 15W40- PERKINS,210,223.35,-223.35,,CSG@18,18.00%,8442.64,-8442.64,-46903.5,213.08,-213.08,44746.8,2156.7,5%,201811
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9W6T5,"1/2"" Sq. Drive Ratchet Insert for 20-100 NM Torque Wrenche(9*12)-Stahlwille Make",1,4971.45,-4971.45,,IG@18,18.00%,894.86,-894.86,-4971.45,4323,-4323,4323,-9294.45,187%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9R6K1,"1/2"" Sq. Drive Ratchet Insert for 40-200 NM Torque Wrenche(14*18)-Stahlwille Make",1,5175,-5175,,IG@18,18.00%,931.5,-931.5,-5175,4466,-4466,4466,-9641,186%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9X5L7,"3/4"" Sq. Drive Ratchet Insert for 80-400 NM Torque Wrenche(14*18)-Stahlwille Make",1,21568.25,-21568.25,,IG@18,18.00%,3882.29,-3882.29,-21568.25,18755,-18755,18755,-40323.25,187%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9X7F1,"GRIPHOLD® make, heavy duty, Square driveadaptor, size: ½” Male x 3/4” Female, Part No.GSA-5",2,690,-690,,IG@18,18.00%,248.4,-248.4,-1380,600,-600,1200,-2580,187%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9X6E1,"GRIPHOLD® heavy duty, Square driveadaptor, size: 3/4” Male x 1/2” Female, Part No.GSA-6",2,419.75,-419.75,,IG@18,18.00%,151.11,-151.11,-839.5,365,-365,730,-1569.5,187%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9S1Q5,"GRIPHOLD® heavy duty, Special Squaredrive adaptor, size: 1” Male x 1/2” Female,",1,897,-897,,IG@18,18.00%,161.46,-161.46,-897,780,-780,780,-1677,187%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9Q7U1,"GRIPHOLD® heavy-duty sq. drive adaptor, size :1”M x 3/4” F Part No. GSA-9",1,897,-897,,IG@18,18.00%,161.46,-161.46,-897,780,-780,780,-1677,187%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9Z8E2,"T - Handle 3/4 "" suqare drive - Heavy Duty",1,198.95,-198.95,,IG@18,18.00%,35.81,-35.81,-198.95,190,-190,190,-388.95,196%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9T2T4,"Stud Tighteners-M12X1.75 with 1/2"" female drive -Griphold make",1,839.5,-839.5,,IG@18,18.00%,151.11,-151.11,-839.5,780,-780,780,-1619.5,193%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9Q2Q1,HEX.SOCKET 17 WITH 1/2 INCH DRIVE,4,46.24,-46.24,,IG@18,18.00%,33.29,-33.29,-184.96,41,-41,164,-348.96,189%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9T8D5,HEX.SOCKET 19 WITH 1/2 INCH DRIVE,4,46.24,-46.24,,IG@18,18.00%,33.29,-33.29,-184.96,41,-41,164,-348.96,189%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9Q4C7,HEX.SOCKET 24mm WITH 3/4 INCH DRIVE-Double hex,1,191.08,-191.08,,IG@18,18.00%,34.39,-34.39,-191.08,169,-169,169,-360.08,188%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9U8Q9,ADJUSTABLE SPANNER ( 0-25mm ) -Taparia Make,1,187,-187,,IG@18,18.00%,33.66,-33.66,-187,150,-150,150,-337,180%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9Q6K1,Pipe Wrench Taparia-product-1510-1777691,1,363.8,-363.8,,IG@18,18.00%,65.48,-65.48,-363.8,321,-321,321,-684.8,188%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9X1Y5,TAPARIA MAKE SCREW DRIVER NO-927,2,107.44,-107.44,,IG@18,18.00%,38.68,-38.68,-214.88,95,-95,190,-404.88,188%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9T8Q2,combination spanner 13mm,2,25.16,-25.16,,IG@18,18.00%,9.06,-9.06,-50.32,22,-22,44,-94.32,187%,201810
Ranjit Kumar,4100001746,14-Sep-18,INR,1,ABB India Ltd.,,27044,10610383,01-Oct-18,01-Oct-18,BM9V3H1,combination spanner 19mm,2,47.6,-47.6,,IG@18,18.00%,17.14,-17.14,-95.2,42,-42,84,-179.2,188%,201810
