inquiry_number,created_at,updated_at,quote_date,code
37880,22-Aug-2019,23-Aug-2019,25-Mar-2019,-150
37786,20-Aug-2019,22-Aug-2019,03-Jul-2019,-48
37761,20-Aug-2019,20-Aug-2019,15-May-2019,-97
37393,09-Aug-2019,09-Aug-2019,02-Mar-2019,-160
37384,09-Aug-2019,19-Aug-2019,14-Jun-2019,-56
37380,09-Aug-2019,09-Aug-2019,29-Jul-2019,-11
37375,09-Aug-2019,09-Aug-2019,02-Aug-2019,-7
37372,09-Aug-2019,20-Aug-2019,17-Jan-2019,-204
37370,09-Aug-2019,09-Aug-2019,02-Aug-2019,-7
37203,05-Aug-2019,06-Aug-2019,21-May-2019,-76
37200,05-Aug-2019,05-Aug-2019,22-Jul-2019,-14
35785,24-Jun-2019,28-Jun-2019,18-Apr-2019,-67
35770,21-Jun-2019,29-Jul-2019,30-May-2019,-22
35759,21-Jun-2019,23-Jul-2019,17-Jun-2019,-4
35588,17-Jun-2019,16-Aug-2019,11-Jun-2019,-6
35587,17-Jun-2019,09-Jul-2019,11-Jun-2019,-6
35488,12-Jun-2019,16-Jul-2019,24-Feb-2019,-108
35443,11-Jun-2019,11-Jun-2019,06-Jun-2019,-5
35436,11-Jun-2019,22-Jul-2019,15-May-2019,-27
35399,10-Jun-2019,29-Jul-2019,08-Oct-2018,-245
35194,03-Jun-2019,08-Jun-2019,09-May-2019,-25
35189,03-Jun-2019,28-Jun-2019,22-May-2019,-12
35115,30-May-2019,12-Jun-2019,30-Jan-2019,-120
34974,27-May-2019,06-Jun-2019,18-Apr-2019,-39
34973,27-May-2019,28-May-2019,30-Apr-2019,-27
34960,27-May-2019,03-Jun-2019,12-Jun-2018,-349
34917,24-May-2019,28-May-2019,24-Apr-2019,-30
34916,24-May-2019,28-May-2019,24-Apr-2019,-30
34915,24-May-2019,28-May-2019,24-Apr-2019,-30
34914,24-May-2019,28-May-2019,24-Apr-2019,-30
34731,18-May-2019,09-Jul-2019,24-Feb-2019,-83
27463,21-Sep-2018,28-Feb-2019,08-May-2018,-136
27145,11-Sep-2018,30-Mar-2019,03-Sep-2018,-8
26998,05-Sep-2018,28-Mar-2019,01-Aug-2018,-35
26206,09-Aug-2018,04-Feb-2019,05-Jul-2018,-35
26213,09-Aug-2018,05-Mar-2019,30-Jul-2018,-10
25883,30-Jul-2018,02-Mar-2019,16-Jul-2018,-14
25538,18-Jul-2018,05-Mar-2019,12-Jul-2018,-6
25535,18-Jul-2018,28-Feb-2019,12-Jul-2018,-6
25530,17-Jul-2018,04-Feb-2019,16-Jul-2018,-1
25518,17-Jul-2018,13-Dec-2018,02-Jul-2018,-15
25418,13-Jul-2018,13-Dec-2018,10-Jul-2018,-3
25127,04-Jul-2018,13-Dec-2018,07-Jun-2018,-27
25128,04-Jul-2018,13-Dec-2018,07-Jun-2018,-27
21442,27-Jun-2018,03-Jun-2019,02-May-2018,-56
21414,26-Jun-2018,13-Dec-2018,25-May-2018,-32
21404,25-Jun-2018,04-Feb-2019,05-Jun-2018,-20
21336,21-Jun-2018,04-Feb-2019,05-Jun-2018,-16
21301,20-Jun-2018,04-Feb-2019,05-Jun-2018,-15
21221,18-Jun-2018,04-Feb-2019,05-Jun-2018,-13
21224,18-Jun-2018,04-Feb-2019,05-Jun-2018,-13
21210,16-Jun-2018,28-Jun-2019,07-Jun-2018,-9
21216,16-Jun-2018,04-Feb-2019,05-Jun-2018,-11
21186,15-Jun-2018,04-Feb-2019,14-Jun-2018,-1
21172,14-Jun-2018,05-Jul-2019,22-May-2018,-23
21132,13-Jun-2018,28-Feb-2019,05-Jun-2018,-8
21137,13-Jun-2018,04-Feb-2019,05-Jun-2018,-8
21118,13-Jun-2018,04-Feb-2019,05-Jun-2018,-8
21131,13-Jun-2018,13-Dec-2018,05-Jun-2018,-8
21134,13-Jun-2018,04-Feb-2019,06-Mar-2018,-99
21135,13-Jun-2018,04-Feb-2019,26-Jun-2017,-352
21103,12-Jun-2018,04-Feb-2019,28-Aug-2017,-288
21009,07-Jun-2018,19-Jun-2019,04-Jun-2018,-3
20936,05-Jun-2018,18-Dec-2018,09-May-2018,-27
20943,05-Jun-2018,04-Feb-2019,09-May-2018,-27
20895,02-Jun-2018,13-Dec-2018,01-Jun-2018,-1
20899,02-Jun-2018,13-Dec-2018,01-Jun-2018,-1
20897,02-Jun-2018,13-Dec-2018,01-Jun-2018,-1
20896,02-Jun-2018,13-Dec-2018,01-Jun-2018,-1
20898,02-Jun-2018,13-Dec-2018,01-Jun-2018,-1
20894,02-Jun-2018,13-Dec-2018,01-Jun-2018,-1
20893,02-Jun-2018,13-Dec-2018,01-Jun-2018,-1
20876,01-Jun-2018,28-Mar-2019,01-Apr-2018,-61
20855,01-Jun-2018,04-Feb-2019,10-May-2018,-22
20779,30-May-2018,04-Feb-2019,25-May-2018,-5
20785,30-May-2018,05-Mar-2019,18-Jan-2018,-132
20504,23-May-2018,13-Dec-2018,22-Mar-2018,-62
20138,21-May-2018,02-Mar-2019,24-Apr-2018,-27
20137,21-May-2018,02-Mar-2019,24-Apr-2018,-27
19908,08-May-2018,28-Feb-2019,07-May-2018,-1
19880,07-May-2018,28-Feb-2019,23-Aug-2017,-257
19807,03-May-2018,28-Feb-2019,19-Dec-2017,-135
19791,03-May-2018,05-Mar-2019,06-Mar-2018,-58
