Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Process Company?,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,AAA Roller Flour Mills Pvt. Ltd.,AAA Roller Flour Mills Pvt. Ltd.,No-Yes,AAA Roller,AAA Roller Flour,Customer
,Aapka Vendor,Aapka Vendor,No-Yes,Aapka Vendor,Malhotra Constn.,Customer
,ACC India Pvt. Ltd.,ACC India Pvt. Ltd.,No-Yes,ACC,ACC India,Customer
,ACG Inspection Systems Pvt. Ltd.,ACG Inspection Systems Pvt. Ltd.,No-Yes,ACG Inspection,ACG Inspection Sys,Customer
,Acme Cleantech Solutions PVT Ltd.,Acme Cleantech Solutions PVT Ltd.,No-Yes,Acme Cleantech,Acme Cleantech Solutions PVT Ltd.,Customer
,Acme Foundry Flux Co. Pvt. Ltd.,Acme Foundry Flux Co. Pvt. Ltd.,No-Yes,Acme Foundry,Acme Foundry Flux Co,Customer
,Acon Traders USA,Acon Traders USA,No-Yes,Acon Traders,Acon Traders USA,Customer
,Adani Gas Ltd.,Adani Gas Ltd.,No-Yes,Adani,Adani Gas,Customer
,Adani Hazira Port Pvt. Ltd.,Adani Hazira Port Pvt. Ltd.,No-Yes,Adani,Adani Hazira,Customer
,Aditya Birla Nuvo Ltd.,Aditya Brila Nuvo Ltd.,Yes-Yes,Aditya Birla,Aditya Auto,Customer
,Aditya Steel Engineering Co.,Aditya Steel Engineering Co.,No-Yes,Aditya Steel Engineering,Aditya Steel Engineering Co.,Customer
,Aequs Pvt.Ltd.,Aequs Pvt.Ltd.,No-Yes,Aequs,Aequs Pvt. Ltd.,Customer
,Aesseal India Pvt. Ltd.,Aesseal India Pvt. Ltd.,No-Yes,Aesseal,Aesseal India,Customer
,Aga Pipe Products,Aga Pipe Products,No-Yes,Aga Pipe,Aga Pipe Products,Customer
,Aira Trex Solutions (I) Pvt Ltd,Aira Trex Solutions I Pvt Ltd,Yes-Yes,Aira Trex,Aira Trex Solutions,Customer
,Air Services India,Air Services India,No-Yes,Air Services,Air Services India,Customer
,Aker Solutions,Aker Solutions,No-Yes,Aker,AKER SOLUTIONS,Customer
,Akshar Plastic Corporation,Akshar Plastic Corporation,No-Yes,Akshar Plastic,Akshar Plastic Corp,Customer
,Akzo Nobel India Ltd.,Akzo Nobel India Ltd.,No-Yes,Akzo Nobel,AkzoNobel,Customer
,Alba Sales Corporation,Alba Sales Corporation,No-Yes,Alba Sales,Alba Sales Corp.,Customer
,Allegion India Pvt. Ltd.,Allegion India Pvt. Ltd.,No-Yes,Allegion,Allegion India,Customer
,"Allied Services International, Inc.","Allied Services International, Inc.",No-Yes,ASI,A.S.I.,Customer
,Almdarij International Marketing Co. Ltd.,Almdarij International Marketing Co. Ltd.,No-Yes,Almdarij International,Almdarij Intl.,Customer
,Al Shirawi Equipment Company LLC,Al Shirawi Equipment Company LLC,No-Yes,Al Shirawi,BORL,Customer
,Alstom Bharat Forge Power Pvt. Ltd.,Alstom Bharat Forge Power Pvt. Ltd.,No-Yes,Alstom Bharat Forge Power,Alstom,Customer
Yes,Amazon Online Sales,Amazon Online Sales,No-Yes,Amazon,Amazon Online Sales,Customer
Yes,Amazon Seller Services Pvt. Ltd.,Amazon Seller Services Pvt. Ltd.,No-Yes,Amazon,Amazon Seller,Customer
,Amber Enterprises India Pvt. Ltd.,Amber Enterprises India Pvt. Ltd.,No-Yes,Amber Enterprises,Amber Enterprise,Customer
,Ankita Plast Industries,Ankita Plast Industries,No-Yes,Ankita Plast,Ankita Plast Ind,Customer
,Annicett Nig. Ltd.,Annicett Nig. Ltd.,No-Yes,Annicett,Annicett Nig. Ltd.,Customer
,Apar Industries,Apar Industries,No-Yes,Apar Industries,Apar,Customer
,Apex Life Sciences,Apex Life Sciences,No-Yes,Apex Life Sciences,Apex Life,Customer
,Apollo Hospitals,Apollo Hospitals,No-Yes,Apollo,Apollo Hospitals,Customer
,Apollo MedSkills,Apollo MedSkills,No-Yes,Apollo,Apollo MedSkills,Customer
,Apollo Pharmacy,Apollo Pharmacy,No-Yes,Apollo,Apollo Pharmacy,Customer
,APPL Industries Ltd.,APPL Industries Ltd.,No-Yes,APPL,APPL Industries,Customer
,Aquaproof and Anchoring Systems,Aquaproof and Anchoring Systems,No-Yes,Aquaproof & Anchoring,Aquaproof Anchoring,Customer
,Arabian Ocean Drilling Supplies and Services Pvt. Ltd.,Arabian Ocean Drilling Supplies and Services Pvt. Ltd.,No-Yes,Arabian Ocean Drilling Supplies,Arabian Ocean Drill,Customer
,Aravon Services Pvt. Ltd.,Aravon Services Pvt. Ltd. (Formerly known as Aramark India Pvt. Ltd.),Yes-Yes,Aravon,Aravon Services,Customer
,Arbro Pharmaceuticals Pvt. Ltd.,"Arbro Pharmaceuticals Pvt. Ltd,",Yes-No,Arbro Pharma,Arbro Pharma,Customer
,Arjun Chemicals Pvt. Ltd.,Arjun Chemicals Pvt. Ltd,Yes-Yes,Arjun Chemicals,Legacy Account,Customer
,Arkema Chemicals Pvt. Ltd.,Arkema Chemicals Pvt. Ltd.,No-Yes,Arkema,Arkema Chemicals,Customer
,Armament Research and Development Establishment,Armament Research and Development Establishment,No-Yes,Armament R&D,Armament R and D,Customer
,Armstrong World Industries,Armstrong World Industries,No-Yes,Armstrong World,Armstrong World Ind,Customer
,ARS – Industria E Comércio De Parafusos E Ferragens Ltda,ARS – INDUSTRIA E COMÉRCIO DE PARAFUSOS E FERRAGENS LTDA,No-Yes,ARS,ARS – INDUSTRIA E COMÉRCIO DE PARAFUSOS E FERRAGENS LTDA,Customer
,Asahi India Glass Ltd.,Asahi India Glass Ltd.,No-Yes,Asahi,Asahi India Glass,Customer
,ASB International Pvt. Ltd.,ASB International Pvt. Ltd.,No-Yes,ASB,ASB International Pvt. Ltd.,Customer
Yes,Ascott Beverly Park Hospitality (India) Pvt. Ltd.,Ascott Beverly Park Hospitality (India) Pvt Ltd,Yes-No,Ascott Beverly Park Hospitality,Ascott Beverly Park Hospitality,Customer
,Ashirvad Pipes Pvt. Ltd.,Ashirvad Pipes Pvt. Ltd.,No-Yes,Ashirvad Pipes,Ashirvad Pipes Pvt. Ltd.,Customer
,Asian Institute of Medical Sciences,Asian Institute of Medical Sciences,No-Yes,Asian Institute,Asian Institute Med,Customer
