Duplicate Company Name? - Final (Yes / No),Corrected Company Name - Final,Company Name,Corrected Alias Name - Final,Company Alias,Customer or Supplier?
,3A Composites India Pvt. Ltd.,3A Composites India Pvt. Ltd.,3A Composites,3A Composites,Customer
,3M India Ltd.,3M India Ltd.,3M,3M,Customer
,4A International,4A International,4A International,4A International,Customer
,AAA Roller Flour Mills Pvt. Ltd.,AAA Roller Flour Mills Pvt. Ltd.,AAA Roller,AAA Roller Flour,Customer
,Aapka Vendor,Aapka Vendor,Aapka Vendor,Malhotra Constn.,Customer
,Aarem Electronic Pvt. Ltd.,Aarem Electronic Pvt. Ltd.,Aarem Electronic,Aarem Electronic,Customer
,Aarti Drugs Ltd.,Aarti Drugs Ltd.,Aarti Drugs,Aarti Drugs,Customer
,Aarti Industries Ltd.,Aarti Industries Ltd.,Aarti Industries,Aarti Industries,Customer
,Aarvi precision tooling and trading co.,Aarvi precision tooling and trading co.,Aarvi Precision,Aarvi Precision,Customer
,Aastral Industries,Aastral Industries,Aastral Industries,Aastral Industries,Customer
,Aavantika Gas Ltd.,Aavantika Gas Ltd.,Aavantika Gas,Aavantika Gas,Customer
,ABB Global Business Services,ABB Global Business Services,ABB,ABB,Customer
,ABB Global Industries and Services Pvt. Ltd.,ABB Global Industries and Services Pvt. Ltd.,ABB,ABB,Customer
,Abbott Healthcare Pvt. Ltd.,Abbott Healthcare Pvt. Ltd.,Abbott,Abbott,Customer
,ABInBev,ABInBev,ABInBev,ABInBev,Customer
,ABS Electroplaters India Pvt. Ltd.,ABS Electroplaters India Pvt. Ltd.,ABS Electroplaters,ABS Electroplaters,Customer
,ACC India Pvt. Ltd.,ACC India Pvt. Ltd.,ACC,ACC India,Customer
,ACCIONA Energy India Pvt. Ltd.,ACCIONA Energy India Pvt. Ltd.,ACCIONA,ACCIONA,Customer
,Accuramech Industrial Engineering Pvt. Ltd.,Accuramech Industrial Engineering Pvt. Ltd.,Accuramech,Accuramech,Customer
,Acer Granito Pvt. Ltd.,Acer Granito Pvt. Ltd.,Acer Granito,Acer Granito,Customer
,Ace Technologies and Packaging Systems Pvt. Ltd.,ACE Technologies and Packaging Systems Pvt. Ltd.,Ace Tech Packaging,ACE Tech Packaging,Customer
,ACG Inspection Systems Pvt. Ltd.,ACG Inspection Systems Pvt. Ltd.,ACG Inspection,ACG Inspection Sys,Customer
,Achintyo Engineering LLP,Achintyo Engineering LLP,Achintyo Engineering,Achintyo Engineering,Customer
,Acme Cleantech Solutions PVT Ltd.,Acme Cleantech Solutions PVT Ltd.,Acme Cleantech,Acme Cleantech Solutions PVT Ltd.,Customer
,Acme Foundry Flux Co. Pvt. Ltd.,Acme Foundry Flux Co. Pvt. Ltd.,Acme Foundry,Acme Foundry Flux Co,Customer
,Acme Pharmaceuticals Pvt. Ltd.,Acme Pharmaceuticals Pvt. Ltd.,Acme Pharma,ACME Pharma,Customer
,Acon Traders USA,Acon Traders USA,Acon Traders,Acon Traders USA,Customer
,AcuTech Solar Pvt. Ltd.,AcuTech Solar Pvt. Ltd.,AcuTech Solar,AcuTech Solar,Customer
,Adani Electricity Mumbai Ltd.,Adani Electricity Mumbai Ltd.,Adani,ADANI,Customer
,Adani Gas Ltd.,Adani Gas Ltd.,Adani,Adani Gas,Customer
,Adani Hazira Port Pvt. Ltd.,Adani Hazira Port Pvt. Ltd.,Adani,Adani Hazira,Customer
,Adani Mining,Adani Mining,Adani,ADANI,Customer
,Adarsh Motors,Adarsh Motors,Aadrsh Motors,Aadrsh Motors,Customer
,Adarsh Oxygen Pvt. Ltd.,Adarsh Oxygen Pvt. Ltd.,Adarsh Oxygen,Adarsh Oxygen,Customer
,Adico Forge Pvt. Ltd.,Adico Forge Pvt. Ltd.,Adico Forge,Adico Forge,Customer
,Adino Telecom Ltd.,Adino Telecom Ltd.,Adino Telecom,Adino Telecom,Customer
,Aditya Auto Products and Engg India Pvt. Ltd.,Aditya Auto Products and Engg India Pvt. Ltd.,Aditya Auto Products and Engg,Aditya Auto Products and Engg,Customer
,Aditya Birla Nuvo Ltd.,Aditya Brila Nuvo Ltd.,Aditya Birla,Aditya Auto,Customer
,Aditya International Co.,Aditya International Co.,Aditya International,Aditya International,Customer
,Aditya Steel Engineering Co.,Aditya Steel Engineering Co.,Aditya Steel Engineering,Aditya Steel Engineering Co.,Customer
,Advance Metering Technology Ltd.,Advance Metering Technology Ltd.,Advance Metering,Advance Metering,Customer
,Aequs Pvt.Ltd.,Aequs Pvt.Ltd.,Aequs,Aequs Pvt. Ltd.,Customer
,Aeromarine Pvt. Ltd.,Aeromarine Pvt. Ltd.,Aeromarine,Aeromarine,Customer
,Aesseal India Pvt. Ltd.,Aesseal India Pvt. Ltd.,Aesseal,Aesseal India,Customer
,AETHER Engineering Solutions Pvt. Ltd.,AETHER Engineering Solutions Pvt. Ltd.,AETHER Engineering,AETHER Engineering,Customer
,Afcons Infrastructure Ltd.,Afcons Infrastructure Ltd.,Afcons,Afcons,Customer
,Afore Capital,Afore Capital,Afore Capital,Afore Capital,Customer
,Aga Pipe Products,Aga Pipe Products,Aga Pipe,Aga Pipe Products,Customer
,A. H. Engineers,A. H. Engineers,AH Engineers,AH Engineers,Customer
,AIC Lab Equipments Pvt. Ltd.,AIC Lab Equipments Pvt. Ltd.,AIC Lab Equipments,AIC Lab Equipments,Customer
,Aim Filtertech Pvt. Ltd.,Aim Filtertech Pvt. Ltd.,Aim Filtertech,Aim Filtertech,Customer
,Aims Solutions,Aims Solutions,Aims Solutions,Aims Solutions,Customer
,Aira Trex Solutions (I) Pvt Ltd,Aira Trex Solutions I Pvt Ltd,Aira Trex,Aira Trex Solutions,Customer
,Aircel Ltd.,Aircel Ltd.,Aircel,Aircel,Customer
,Air India Ltd.,Air India Ltd.,Air India,Air India,Customer
,Air Liquide India,Air Liquide India,Air Liquide,Air Liquide,Customer
,Air Services India,Air Services India,Air Services,Air Services India,Customer
,Ajanta Pharma Ltd.,Ajanta Pharma Ltd.,Ajanta Pharma,Ajanta Pharma,Customer
,Ajanta Soap Works,Ajanta Soap Works,Ajanta Soap,Ajanta Soap,Customer
,Ajinkya Enterprises,Ajinkya Enterprises,Ajinkya Enterprises,Ajinkya Enterprises,Customer
,Ajnara Group,Ajnara Group,Ajnara Group,Ajnara Group,Customer
,A.K. Engineering,A.K. Engineering,A.K. Engineering,A.K. Engineering,Customer
,Aker Solutions,Aker Solutions,Aker,AKER SOLUTIONS,Customer
,Akshar Plastic Corporation,Akshar Plastic Corporation,Akshar Plastic,Akshar Plastic Corp,Customer
,Akzo Nobel India Ltd.,Akzo Nobel India Ltd.,Akzo Nobel,AkzoNobel,Customer
,Alba Sales Corporation,Alba Sales Corporation,Alba Sales,Alba Sales Corp.,Customer
,Alchemy Media Marketing,Alchemy Media Marketing,Alchemy Media,Alchemy Media,Customer
,Alcomex Springs Pvt. Ltd.,Alcomex Springs Pvt. Ltd.,Alcomex Springs,Alcomex Springs,Customer
,Alembic Pharmaceuticals Pvt. Ltd.,Alembic Pharmaceuticals Pvt. Ltd.,Alembic Pharma,Alembic Pharma,Customer
,Alexis Global Pvt. Ltd.,Alexis Global Pvt. Ltd.,Alexis Global,Alexis Global,Customer
,Alfa Tech Corporation,Alfa Tech Corporation,Alfa Tech,Alfa Tech,Customer
,ALFA Therm Ltd.,ALFA Therm Ltd.,ALFA Therm,ALFA Therm,Customer
,Allegion India Pvt. Ltd.,Allegion India Pvt. Ltd.,Allegion,Allegion India,Customer
,"Allied Services International, Inc.","Allied Services International, Inc.",ASI,A.S.I.,Customer
,Allison Transmission India Pvt. Ltd.,Allison Transmission India Pvt. Ltd.,Allison Transmission,Allison Transmission,Customer
,Almdarij International Marketing Co. Ltd.,Almdarij International Marketing Co. Ltd.,Almdarij International,Almdarij Intl.,Customer
