document_type,branch,series_name,first_number,Last Number,period_indicator,length
A/P Invoice Branch Transfer,Maharashtra,MUM 2023,231092001,231093999,FY2023-24,9
A/P Invoice Branch Transfer,Gujarat,GJ 2023,231192001,231193999,FY2023-24,9
A/P Invoice Branch Transfer,Delhi,DL 2023,231292001,231293999,FY2023-24,9
A/P Invoice Branch Transfer,Tamil Nadu,CH 2023,231392001,231393999,FY2023-24,9
A/P Invoice Branch Transfer,Telangana,HYD 2023,231492001,231493999,FY2023-24,9
A/P Invoice Branch Transfer,Haryana,HR 2023,231592001,231593999,FY2023-24,9
A/P Invoice Branch Transfer,Himachal Pradesh,HP 2023,231692001,231693999,FY2023-24,9
A/P Invoice Branch Transfer,Karnataka,KA 2023,231792001,231793999,FY2023-24,9
A/P Invoice Branch Transfer,Rajasthan,RJ 2023,231892001,231893999,FY2023-24,9
A/P Invoice Branch Transfer,Chhattisgarh,CG 2023,231992001,231993999,FY2023-24,9
A/P Invoice Branch Transfer,Odisha,OD 2023,232092001,232093999,FY2023-24,9
A/R Invoice Credit Memo,Maharashtra,MUM 2023,231040001,231049999,FY2023-24,9
A/R Invoice Credit Memo,Gujarat,GJ 2023,231140001,231149999,FY2023-24,9
A/R Invoice Credit Memo,Delhi,DL 2023,231240001,231249999,FY2023-24,9
A/R Invoice Credit Memo,Tamil Nadu,CH 2023,231340001,231349999,FY2023-24,9
A/R Invoice Credit Memo,Telangana,HYD 2023,231440001,231449999,FY2023-24,9
A/R Invoice Credit Memo,Haryana,HR 2023,231540001,231549999,FY2023-24,9
A/R Invoice Credit Memo,Himachal Pradesh,HP 2023,231640001,231649999,FY2023-24,9
A/R Invoice Credit Memo,Karnataka,KA 2023,231740001,231749999,FY2023-24,9
A/R Invoice Credit Memo,Rajasthan,RJ 2023,231840001,231849999,FY2023-24,9
A/R Invoice Credit Memo,Chhattisgarh,CG 2023,231940001,231949999,FY2023-24,9
A/R Invoice Credit Memo,Odisha,OD 2023,232040001,232049999,FY2023-24,9
GRPO,Maharashtra,MUM 2023,231070001,231079999,FY2023-24,9
GRPO,Gujarat,GJ 2023,231170001,231179999,FY2023-24,9
GRPO,Delhi,DL 2023,231270001,231279999,FY2023-24,9
GRPO,Tamil Nadu,CH 2023,231370001,231379999,FY2023-24,9
GRPO,Telangana,HYD 2023,231470001,231479999,FY2023-24,9
GRPO,Haryana,HR 2023,231570001,231579999,FY2023-24,9
GRPO,Himachal Pradesh,HP 2023,231670001,231679999,FY2023-24,9
GRPO,Karnataka,KA 2023,231770001,231779999,FY2023-24,9
GRPO,Rajasthan,RJ 2023,231870001,231879999,FY2023-24,9
GRPO,Chhattisgarh,CG 2023,231970001,231979999,FY2023-24,9
GRPO,Odisha,OD 2023,232070001,232079999,FY2023-24,9
