Inside Sales Name,Client Order Date,Price Currency,Document Rate,Magento Company Name,Company Alias,Inquiry Number,So #,Order Date,Bm #,Description,Order Qty,Unit Selling Price,Freight,Tax Type,Tax Rate,Tax Amount,Total Selling Price,Total Landed Cost,Unit cost price,Margin,Margin (In %),Kit,AE,sprint_total,sprint_total_with_tax,bible_total,bible_total_with_tax,Abs. Mismatch,Mismatch
Apeksha Khambe,4-Aug-16,INR,1,Universal Electrical and Electronics Co.,Universal Electronic,5701,200046,4-Aug-16,BM0C7B2,"CRIMPING PLIER, 230mm- 9",1,229.16,0,12.5% VAT,13.00%,29.7908,229.16,74,74,155.16,67.71%,No,No,179.16,202.45,229.16,258.95,56.5,-56.5
Apeksha Khambe,4-Aug-16,INR,1,Universal Electrical and Electronics Co.,Universal Electronic,5701,200046,4-Aug-16,BM0J2N5,"Radio Nose Pilers 150mm/6""",1,144.11,0,12.5% VAT,13.00%,18.7343,144.11,95,95,49.11,34.08%,No,No,94.11,106.34,144.11,162.84,56.5,-56.5
Aditya Andankar,11-Aug-16,INR,1,Amazon Online Sales,Amazon - Online Sales,5710,200056,31-Jul-16,BM1A6Q7,RATCHET 1/2 SQ. DR QUICK RELEASE,1,631.58,0,4.4% VAT,4.00%,25.2632,631.58,727,727,-95.4200000000001,-15.11%,No,No,505.58,525.8,631.58,656.84,131.04,-131.04
Devang Shah,9-Aug-16,INR,1,Ingersoll Rand (India) Ltd.,IR,5545,200092,9-Aug-16,BM9B3J9,Single Banjo Male Connector 12mm X 1/2 P.N 3018 12 21 Make- Parker Legris,35,981.854285714286,0,5.0% VAT,5.00%,1718.245,34364.9,36128,1032.22857142857,-1763.1,-5.13%,No,No,37523.15,39399.31,34364.9,36083.15,3316.16,3316.16
Apeksha Khambe,11-Aug-16,INR,1,Amazon Online Sales,Amazon - Online Sales,5768,200105,11-Aug-16,BM0I0R4,"Pipe Clamp Clutch Type, 3/4 - 375B",2,483.33,0,12.5% VAT,13.00%,125.6658,966.66,1269,634.5,-302.34,-31.28%,No,No,866.66,979.33,966.66,1092.33,113,-113
Jigar Patel,16-Aug-16,INR,1,Amazon Online Sales,Amazon - Online Sales,5796,200120,16-Aug-16,BM0C7K0,Part # 93-304-1-22 - T-Bar Socket 10 mm Make: Stanley,1,442,0,3.9% VAT,4.00%,17.68,442,239,239,203,45.93%,No,No,316,328.64,442,459.68,131.04,-131.04
Piyush Yadav,17-Aug-16,INR,1,Amazon Online Sales,Amazon - Online Sales,5810,200128,17-Aug-16,BM0C8Y9,"HEX KEY SET-RING, 10PCS, IMPERIAL",1,441,0,3.9% VAT,4.00%,17.64,441,227,227,214,48.53%,No,No,315,327.6,441,458.64,131.04,-131.04
Nisha Patil,11-Aug-16,INR,1,PNP Maritime Services Pvt. Ltd.,PNP Maritime Services,5585,200151,11-Aug-16,BM9B3N8,"Safety Helmet Rachet Type Fitting
 ISI, en, Certified
Color - Yellow, Blue, White, Green",150,179.666666666667,0,5.5% VAT,6.00%,1617,26950,23671,157.806666666667,3279,12.17%,No,No,24750,26235,26950,28567,2332,-2332
Others,28-Sep-15,INR,1,GE India Industrial Pvt. Ltd.,GE,1975,200162,28-Sep-15,BM0C7B2,"CRIMPING PLIER, 230mm- 9",5,343,0,12.5% VAT,13.00%,222.95,1715,843,168.6,872,50.85%,No,No,1710,1932.3,1715,1937.95,5.65000000000009,-5.65000000000009
Gajendra Pawar,6-Jun-15,INR,1,GE India Industrial Pvt. Ltd.,GE,1133,200167,6-Jun-15,BM0L8R8,"Tarpaulin Sheet-200GSM-Cut Size 8.18 mtrs x 4.54 mtrs, Finish Size 7.87 mtrs x 4.24 mtrs",11,1355.72727272727,0,12.5% VAT,13.00%,1938.69,14913,8090,735.454545454546,6823,45.75%,No,No,11000,12430,14913,16851.69,4421.69,-4421.69
Gajendra Pawar,6-Jun-15,INR,1,GE India Industrial Pvt. Ltd.,GE,1133,200167,6-Jun-15,BM0L8R9,"Tarpaulin Sheet-200GSM-Cut Size 10.9 mtrs x 10.9 mtrs, Finish Size 10.6 mtrs x 10.3 mtrs",15,4581.8,0,12.5% VAT,13.00%,8934.51,68727,58790,3919.33333333333,9937,14.46%,No,No,63000,71190,68727,77661.51,6471.51,-6471.51
Swati Bhosale,20-Apr-16,INR,1,Applied Materials India Pvt. Ltd.,AMAT,4187,200169,20-Apr-16,BM1B0W4,Non-Metallic Code 3 Housing (100 nm & 200 nm),4,47620.0625,0,12.1% VAT,12.00%,22857.63,190480.25,183414,45853.5,7066.25,3.71%,No,No,180000,201600,190480.25,213337.88,11737.88,-11737.88
Others,20-Apr-16,INR,1,Applied Materials India Pvt. Ltd.,AMAT,4187,200169,20-Apr-16,BM1B0W5,30 nm Filter,1,104169.34,0,11.9% VAT,12.00%,12500.3208,104169.34,100989,100989,3180.34,3.05%,No,No,99109,111002.08,104169.34,116669.66,5667.58,-5667.58
Others,20-Apr-16,INR,1,Applied Materials India Pvt. Ltd.,AMAT,4187,200169,20-Apr-16,BM1B0W6,5 nm Filter,1,106188.42,0,11.9% VAT,12.00%,12742.6104,106188.42,102946,102946,3242.42,3.05%,No,No,101030,113153.6,106188.42,118931.03,5777.42999999999,-5777.42999999999
Shailender Agarwal,16-Feb-16,INR,1,Amazon Online Sales,Amazon - Online Sales,3307,200187,16-Feb-16,BM0C7P6,Part # 70115-S - FEELER GAUGE 25 BALDES - 0.04 TO 1.00mm Make: Stanley,1,411,0,5.0% VAT,5.00%,20.55,411,248,248,163,39.66%,No,No,336,352.8,411,431.55,78.75,-78.75
Swati Bhosale,23-Feb-16,INR,1,Amazon Seller Services Pvt. Ltd.,Amazon Seller,3354,200188,23-Feb-16,BM0C7Q5,"Comb PLIER, DOUBLE COLOR SLEEVE, 205mm-8",1,240,0,5.0% VAT,5.00%,12,240,361,361,-121,-50.42%,No,No,165,173.25,240,252,78.75,-78.75
Others,17-Jun-15,INR,1,GE Infrastructure Transportation,GE,1015,200196,17-Jun-15,BM0O4A9,Test Lead Kit,1,19142,0,12.5% VAT,13.00%,2488.46,19142,7933,7933,11209,58.56%,No,No,18742,21178.46,19142,21630.46,452,-452
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM0C7C6,"Part # 84-108-23 - PLIER DIAGONAL CUTTING, 177mm-7 Make: Stanley",2,254.5,0,12.5% VAT,13.00%,66.17,509,401,200.5,108,21.22%,No,No,466,526.58,509,575.17,48.5899999999999,-48.5899999999999
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM0C7F5,"RETRACTABLE UTILITY KNIFE, 156mm - 6 1/8",2,152.5,0,12.5% VAT,13.00%,39.65,305,226,113,79,25.90%,No,No,262,296.06,305,344.65,48.59,-48.59
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM0C7R0,"Part # 70-483 - LONG NOSE PLIER, Dbl Clr SLEEVE, 152mm-6 Make: Stanley",2,270.5,0,12.5% VAT,13.00%,70.33,541,321,160.5,220,40.67%,No,No,498,562.74,541,611.33,48.59,-48.59
Others,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM0C8G9,Part # STMT72794-8 - 1/4 Sq. Dr. Socket & Bit Set (46 Pcs. Set) Make: Stanley,2,1851.5,0,12.5% VAT,13.00%,481.39,3703,2853,1426.5,850,22.95%,No,No,3662,4138.06,3703,4184.39,46.3299999999999,-46.3299999999999
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM0C8T7,"Part # 87-432-1-23 - ADJUSTABLE WRENCH, 200mm-8 Make: Stanley",2,320.5,0,12.5% VAT,13.00%,83.33,641,516,258,125,19.50%,No,No,598,675.74,641,724.33,48.59,-48.59
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM0C9D6,Part # 70-369E - Dbl Ended OPEN JAW CRV SPANNER 12x13mm Make: Stanley,2,44.5,0,12.5% VAT,13.00%,11.57,89,35,17.5,54,60.67%,No,No,46,51.98,89,100.57,48.59,-48.59
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM0C9D7,Part # 70-370E - Dbl Ended OPEN JAW CRV SPANNER 14x15mm Make: Stanley,2,48.5,0,12.5% VAT,13.00%,12.61,97,40,20,57,58.76%,No,No,54,61.02,97,109.61,48.59,-48.59
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM0C9D8,Part # 70-371E - Dbl Ended OPEN JAW CRVSPANNER 16x17mm Make: Stanley,2,55.5,0,12.5% VAT,13.00%,14.43,111,51,25.5,60,54.05%,No,No,68,76.84,111,125.43,48.59,-48.59
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM0C9D9,Part # 70-372E - Dbl Ended OPEN JAW CRV SPANNER 18x19mm Make: Stanley,2,61.5,0,12.5% VAT,13.00%,15.99,123,60,30,63,51.22%,No,No,80,90.4,123,138.99,48.59,-48.59
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM0L8M4,"Part # 70-461 - Comb PLIER, SINGLE COLOR SLEEVE, 205mm-8 Make: Stanley",2,269.5,0,12.5% VAT,13.00%,70.07,539,320,160,219,40.63%,No,No,496,560.48,539,609.07,48.59,-48.59
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM0Z1D0,Part # 94-346 - 4.0mm 2-Way T-hdl Hex Key Make: Stanley,2,210.5,0,12.5% VAT,13.00%,54.73,421,326,163,95,22.57%,No,No,378,427.14,421,475.73,48.59,-48.59
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM0Z1D2,Part # 94-348 - 6.0mm 2-Way T-hdl Hex Key Make: Stanley,2,303.5,0,12.5% VAT,13.00%,78.91,607,485,242.5,122,20.10%,No,No,564,637.32,607,685.91,48.5899999999999,-48.5899999999999
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A5Z3,Part # 94-347 - 5.0mm 2-Way T-hdl Hex Key Make: Stanley,2,228.5,0,12.5% VAT,13.00%,59.41,457,356,178,101,22.10%,No,No,414,467.82,457,516.41,48.59,-48.59
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A5Z4,Part # 94-350 - 8.0mm 2-Way T-hdl Hex Key Make: Stanley,2,320.5,0,12.5% VAT,13.00%,83.33,641,515,257.5,126,19.66%,No,No,598,675.74,641,724.33,48.59,-48.59
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A6O4,Make: Pros - Bent Forceps - Size: regular,2,145,0,12.5% VAT,13.00%,37.7,290,215,107.5,75,25.86%,No,No,258,291.54,290,327.7,36.16,-36.16
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A6O5,Make: Pros - Forceps - Size: regular,2,113,0,12.5% VAT,13.00%,29.38,226,161,80.5,65,28.76%,No,No,194,219.22,226,255.38,36.16,-36.16
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A6O6,Make: Unit- T - Multimeter - Size: regular ( Model No. UT - 39B ),2,1946.5,0,12.5% VAT,13.00%,506.09,3893,3225,1612.5,668,17.16%,No,No,3862,4364.06,3893,4399.09,35.0299999999997,-35.0299999999997
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A8B5,Chemical Splash/Impact Resistant Goggles - Make: Karam ES009,4,251.75,0,12.5% VAT,13.00%,130.91,1007,602,150.5,405,40.22%,No,No,944,1066.72,1007,1137.91,71.1900000000001,-71.1900000000001
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A8B6,"Coated Gloves, FORTIX(TM) Nitrile, Blue, PR - Make: Marvel",6,96.8333333333333,0,12.5% VAT,13.00%,75.53,581,258,43,323,55.59%,No,No,486,549.18,581,656.53,107.35,-107.35
Pooja Tirwadkar,21-Aug-15,INR,1,Brand Scientific Equipment Pvt. Ltd.,Brand Scientific,1266,200199,2-Sep-15,BM1A8B7,"Disposable Gloves, Nitrile, L, Blue, PK100 - Make: Anchor",3,635.666666666667,0,12.5% VAT,13.00%,247.91,1907,1290,430,617,32.35%,No,No,1860,2101.8,1907,2154.91,53.1099999999997,-53.1099999999997
Others,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A5Z0,Drill bit set,1,413.46,0,12.5% VAT,13.00%,53.7498,413.46,322,322,91.46,22.12%,No,No,375,423.75,413.46,467.21,43.46,-43.46
Others,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A5Z1,Drill Machine 13mm Bosch,1,4961.54,0,12.5% VAT,13.00%,645.0002,4961.54,3870,3870,1091.54,22.00%,No,No,4500,5085,4961.54,5606.54,521.54,-521.54
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6Q6,SLIDING T-BAR 1/2 SQ. DR. 243mm,1,259.53,0,5.0% VAT,5.00%,12.9765,259.53,207,207,52.53,20.24%,No,No,246,258.3,259.53,272.51,14.21,-14.21
Gajendra Pawar,25-Jul-15,INR,1,SPS International Services India Pvt. Ltd.,SPS International,1401,200202,26-Aug-15,BM1A6Q7,RATCHET 1/2 SQ. DR QUICK RELEASE,1,567.59,0,5.0% VAT,5.00%,28.3795,567.59,454,454,113.59,20.01%,No,No,538,564.9,567.59,595.97,31.07,-31.07
