SalesInvoice id,Sales Order ID,Invoice number,SKU,State,product_id,description,qty,Price,tax code,row_total,tax amount,row_total_incl_tax,order_id,bill_from,created_by_id,updated_by_id,created_at,updated_at,legacy_id,is_legacy,status,report_total,remark,MIS date,Delivery Date,POD Attachment,Billing address id,Shipping address id,Old invoice number,payment status,due date,delivery completed,delay reason,is manual closed,Project code
43943,43796,221010980,BM9H6R5D,206,108873,Clean Room Fixture 25/30 Watt Flameproof,6,7050,28687,42300,7614,49914,221110800,31,,,2022-08-03,,,,,,,3-August-22,,,A217104,A217104,,,,,,,82080
,10200100,20210001,BM1G0R0,,,Hiclean L - Sgp 30 Ltrs drum,240,250.00,,"60,000","10,800","70,800",10200100,2,,,3-April-18,,,,,,,31-May-18,,,5149,5149,,,,,,,18389
,99999095,207100003,BM9M6Q2,,,"SOCKET  17/25X6,5 – (MOQ: -10 Qty)",10,54.00,,540,97,637,99999095,20,,,3-Apr-18,,,,,,,7-Jun-18,,,1219,1219,,,,,,,16186
,10300079,207100004,BM9N4G9,,,22210K bearing,2,"4,480.00",,"8,960","1,613","10,573",10300079,20,,,3-Apr-18,,,,,,,7-Jun-18,,,1139,1139,,,,,,,18522
,10300079,207100004,BM9N4W4,,,H 310 Sleeve SKF SIBCO,2,902.00,,"1,804",325,"2,129",10300079,20,,,3-Apr-18,,,,,,,7-Jun-18,,,1139,1139,,,,,,,18522
,10300079,207100004,BM9N4U3,,,SNH 510 TL  Pedestal  SKF SIBCO,2,"1,392.00",,"2,784",501,"3,285",10300079,20,,,3-Apr-18,,,,,,,7-Jun-18,,,1139,1139,,,,,,,18522
,99999044,207100002,BM9H5Q1,,,"Carbon Dioxide, Per Cylinder 30 kg",720,42.11,,"30,319","5,457","35,777",99999044,20,,,3-Apr-18,,,,,,,7-Jun-18,,,1219,1219,,,,,,,17982
,99999094,207100005,BM9G1U8,,,BULK MRO APPROVED Acetone,20,107.00,,"2,140",385,"2,525",99999094,20,,,3-Apr-18,,,,,,,7-Jun-18,,,1219,1219,,,,,,,12624
,99999094,207100006,BM9G1U8,,,BULK MRO APPROVED Acetone,20,107.00,,"2,140",385,"2,525",99999094,20,,,3-Apr-18,,,,,,,7-Jun-18,,,1219,1219,,,,,,,12624
,99999076,20210002,BM9A4B2,,,MANN Spin-On Oil Filter - W712,30,444.00,,"13,320","2,398","15,718",99999076,2,,,3-April-18,,,,,,,31-May-18,,,1460,1460,,,,,,,10831
,99999017,20710013,BM9L5K6,,,LOCTITE 577,6,568.70,,"3,412",614,"4,026",99999017,20,,,4-Apr-18,,,,,,,2-Jun-18,,,1219,1219,,,,,,,15693
,99999096,20710011,BM9L8G8,,,TA 6000 rotor assembly service charges per day,1,"18,360.00",,"18,360","3,305","21,665",99999096,20,,,4-Apr-18,,,,,,,4-Jun-18,,,1139,1766,,,,,,,16185
,10300083,20710010,BM9L8G8,,,TA 6000 rotor assembly service charges per day,2,"18,360.00",,"36,720","6,610","43,330",10300083,20,,,4-Apr-18,,,,,,,5-Jun-18,,,1139,1766,,,,,,,18839
,10210009,20210004,BM9N9E8,,,"CYG-CYOO97CPMOL,MOLECULE WHT IPHONE 4 SILICONE","2,881",665.22,,"1,916,499","344,970","2,261,469",10210009,2,,,4-Apr-18,,,,,,,1-Jun-18,,,1800,1800,,,,,,,19231
,2003400,20710012,BM9M4Y4,,,Qualfast Socket head screw QFT-610 1035T,200,154.59,,"30,918","5,565","36,483",2003400,20,,,4-Apr-18,,,,,,,2-Jun-18,,,5134,5134,,,,,,,16942
,10300088,20710009,BM9N5K1,,,UNIQUE SOLDER WIRE GRADE 60/40... SWG 18-20 50GMS,20,116.67,,"2,333",420,"2,753",10300088,20,,,4-Apr-18,,,,,,,14-Jun-18,,,1139,1766,,,,,,,18855
,10200165,20210003,BM9N4C2,,,"BULK MRO APPROVED Slotted Specimen Stub,12.5 mm Aluminium Pin Stub with Slot, Two Grub ScrewAGG301D",10,"1,145.05",,"11,451","2,061","13,512",10200165,2,,,4-Apr-18,,,,,,,2-Jun-18,,,1224,1224,,,,,,,18565
