invoice_number,commited date,delivery date
202001660,8/3/2019,8/13/2019
204000552,9/5/2019,8/14/2019
205000194,10/30/2019,8/3/2019
205000195,8/30/2019,8/3/2019
205000193,9/30/2019,8/3/2019
202001536,8/1/2019,8/16/2019
204000586,7/20/2019,8/22/2019
202001663,6/30/2019,8/21/2019
202001459,7/24/2019,2/14/2019
204000555,7/11/2019,8/9/2019
204000585,8/15/2019,8/22/2019
202001573,6/13/2019,8/9/2019
202001464,7/10/2019,7/29/2019
202001537,8/10/2019,8/8/2019
202001465,7/24/2019,7/25/2019
202001460,8/8/2019,8/8/2019
202001462,8/18/2019,8/8/2019
205000217,8/5/2019,8/8/2019
202001574,7/31/2019,8/6/2019
205000211,9/30/2019,8/3/2019
205000224,7/18/2019,7/10/2019
202001468,7/29/2019,8/2/2019
204000561,8/6/2019,8/21/2019
202001469,7/31/2019,8/3/2019
204000538,6/25/2019,8/5/2019
204000537,7/17/2019,8/8/2019
202001466,8/15/2019,8/8/2019
204000539,7/17/2019,8/8/2019
204000540,5/31/2019,8/14/2019
202001473,7/29/2019,8/8/2019
204000554,7/31/2019,8/8/2019
202001472,8/10/2019,8/8/2019
202001475,7/27/2019,8/8/2019
202001471,7/13/2019,8/6/2019
202001474,7/11/2019,8/8/2019
202001539,8/5/2019,7/11/2019
202001540,6/7/2019,7/30/2019
202001672,4/28/2019,8/22/2019
202001480,8/7/2019,8/17/2019
202001476,7/22/2019,8/8/2019
202001478,8/17/2019,8/6/2019
202001477,8/24/2019,8/6/2019
205000199,7/29/2019,8/3/2019
205000198,7/29/2019,8/3/2019
205000202,7/28/2019,8/3/2019
205000200,7/28/2019,8/3/2019
204000556,8/16/2019,8/17/2019
202001482,8/5/2019,8/17/2019
202001481,7/10/2019,7/31/2019
202001485,12/31/2018,8/3/2019
202001470,8/26/2019,8/9/2019
202001486,4/30/2019,8/3/2019
202001463,5/22/2019,7/16/2019
202001484,8/5/2019,8/13/2019
202001595,11/9/2018,8/13/2019
204000536,7/25/2019,8/2/2019
202001490,8/24/2019,8/8/2019
202001488,8/24/2019,8/8/2019
202001489,8/24/2019,8/8/2019
202001491,8/19/2019,8/8/2019
202001493,8/6/2019,8/6/2019
202001585,8/21/2019,8/17/2019
205000212,9/30/2019,8/3/2019
202001543,7/10/2019,8/23/2019
205000225,7/15/2019,8/12/2019
202001513,7/30/2019,8/5/2019
202001499,1/31/2019,8/6/2019
202001497,4/15/2019,8/6/2019
202001500,11/1/2018,8/6/2019
202001498,1/31/2019,8/6/2019
202001495,6/1/2019,8/6/2019
202001545,7/31/2019,8/7/2019
202001487,5/29/2019,3/11/2019
202001541,8/19/2019,8/12/2019
204000545,7/31/2019,8/9/2019
202001576,6/1/2019,8/12/2019
202001544,8/6/2019,8/13/2019
202001699,9/9/2019,8/22/2019
202001727,8/20/2019,8/23/2019
204000592,9/14/2019,8/21/2019
205000245,7/31/2019,8/23/2019
202001701,9/5/2019,8/17/2019
202001702,7/5/2019,7/5/2019
202001606,7/15/2019,7/25/2019
204000547,8/1/2019,8/16/2019
