,inward_ids,ar_invoice_id
10211751,127,154
10211751,54,156
102000798,910183,2260
105000128,2249,548
105000128,2760,178
102000941,2396,348
102000941,2396,291
102000962,2511,366
102000962,3151,889
10212243,318,681
10212243,318,670
104000024,2276,705
104000024,2928,706
104000024,2276,189
102000088,990,805
102000088,990,745
102000088,990,682
102000806,2323,245
102000806,2334,238
102000806,2533,813
102000806,2533,806
102000806,2533,635
105000130,2324,246
105000130,3009,790
102001098,2573,417
102001098,"2932,2933",713
102000936,2537,922
102000936,2537,380
104000252,2883,674
104000252,2883,673
104000270,2744,530
104000270,2927,704
106000054,2825,617
106000054,"2822,2825",618
106000048,2707,511
106000048,2707,512
106000059,3017,881
106000059,3017,880
102000946,2829,680
102000946,2829,610
102000346,3112,961
102000346,3112,860
102000489,1853,215
102000489,1652,470
106000102,3121,857
106000102,3121,856
10212384,434,852
10212384,434,631
102000248,1141,725
102000248,1141,546
102000079,1434,848
102000079,1434,567
102000902,2533,813
102000902,2533,806
102000902,2533,635
102000879,3230,428
102000879,3230,979
102000879,3230,980
107000027,"2542, 2688, 2595",497
107000027,"2542, 2688, 2595",496
102000842,2342,249
102000842,"3131,3129",867
102000842,2386,279
102000693,1852,1022
102000693,1852,537
