#,Date,Customer,Due Date,Document Status,Branch,Document Total,Canceled,Document Type,Inside Sales Owner,Order Number,Project,Document Total (FC),Document Total (SC),Tax Amount (SC)
9990001,14-Aug-2015,Cummins Generator Technologies India Pvt. Ltd.,14-Aug-2015,Open,Maharashtra,772,No,S,,,,0,772,0
9990002,08-Sep-2015,Cairn India Ltd.,08-Oct-2015,Open,Maharashtra,65075.89,No,S,,,,0,65075.89,0
9990003,26-Sep-2015,Cairn India Ltd.,26-Oct-2015,Open,Maharashtra,2770,No,S,,,,0,2770,0
9990004,28-Oct-2015,Cairn India Ltd.,27-Nov-2015,Open,Maharashtra,1167.7,No,S,,,,0,1167.7,0
9990005,28-Oct-2015,Cairn India Ltd.,27-Nov-2015,Open,Maharashtra,526.4,No,S,,,,0,526.4,0
9990006,24-Nov-2015,Cairn India Ltd.,24-Dec-2015,Open,Maharashtra,6157.83,No,S,,,,0,6157.83,0
9990007,04-Jan-2016,Cummins Technologies India Pvt. Ltd.,04-Jan-2016,Open,Maharashtra,6959.82,No,S,,,,0,6959.82,0
9990008,06-Jan-2016,Ingersoll Rand (India) Ltd.,05-Feb-2016,Open,Maharashtra,7937,No,S,,,,0,7937,0
9990009,17-Mar-2016,Ingersoll Rand Technologies and Services Pvt. Ltd.,16-Apr-2016,Closed,Maharashtra,7841,No,S,,,,0,7841,0
9990010,02-Apr-2016,Ingersoll Rand Technologies and Services Pvt. Ltd.,02-May-2016,Closed,Maharashtra,1218,No,S,,,,0,1218,0
9990011,19-Apr-2016,Alstom Bharat Forge Power Pvt. Ltd.,19-May-2016,Open,Maharashtra,21619.5,No,S,,,,0,21619.5,0
9990012,12-May-2016,APM Terminals India Pvt. Ltd.,11-Jun-2016,Closed,Maharashtra,25777,No,S,,,,0,25777,0
9990013,16-May-2016,APM Terminals India Pvt. Ltd.,15-Jun-2016,Closed,Maharashtra,21681,No,S,,,,0,21681,0
9990014,09-Jun-2016,Alstom Bharat Forge Power Pvt. Ltd.,09-Jul-2016,Open,Maharashtra,28225.81,No,S,,,,0,28225.81,0
9990015,15-Jun-2016,Cairn India Ltd.,15-Jul-2016,Open,Maharashtra,526.4,No,S,,,,0,526.4,0
9990016,20-Jul-2016,Alstom Bharat Forge Power Pvt. Ltd.,19-Aug-2016,Open,Maharashtra,6961.5,No,S,,,,0,6961.5,0
9990017,28-Jul-2016,Cairn India Ltd.,27-Aug-2016,Open,Maharashtra,1021.05,No,S,,,,0,1021.05,0
9990018,28-Jul-2016,Cummins Generator Technologies India Pvt. Ltd.,28-Jul-2016,Open,Maharashtra,10487.1,No,S,,,,0,10487.1,0
9990019,30-Jul-2016,Alstom Bharat Forge Power Pvt. Ltd.,29-Aug-2016,Open,Maharashtra,6732.46,No,S,,,,0,6732.46,0
9990020,01-Aug-2016,Accuramech Industrial Engineering Pvt. Ltd.,31-Aug-2016,Open,Maharashtra,5970.94,No,S,,,,0,5970.94,0
9990021,01-Aug-2016,Alstom Bharat Forge Power Pvt. Ltd.,31-Aug-2016,Open,Maharashtra,77418,No,S,,,,0,77418,0
9990022,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,2933,No,S,,,,0,2933,0
9990023,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,65.63,No,S,,,,0,65.63,0
9990024,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,4770.47,No,S,,,,0,4770.47,0
9990025,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,831.81,No,S,,,,0,831.81,0
9990026,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,2200,No,S,,,,0,2200,0
9990027,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,80587.13,No,S,,,,0,80587.13,0
9990028,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,2624.63,No,S,,,,0,2624.63,0
9990029,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,107510,No,S,,,,0,107510,0
9990030,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,2451.56,No,S,,,,0,2451.56,0
9990031,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,1385.16,No,S,,,,0,1385.16,0
9990032,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,81248,No,S,,,,0,81248,0
9990033,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,341220,No,S,,,,0,341220,0
9990034,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,638,No,S,,,,0,638,0
9990035,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,178166.26,No,S,,,,0,178166.26,0
9990036,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,155466,No,S,,,,0,155466,0
9990037,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,20531.25,No,S,,,,0,20531.25,0
9990038,01-Aug-2016,Applied Materials India Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,1464.49,No,S,,,,0,1464.49,0
9990039,01-Aug-2016,Cummins Technologies India Pvt. Ltd.,01-Aug-2016,Open,Maharashtra,11272.03,No,S,,,,0,11272.03,0
9990040,01-Aug-2016,GE India Industrial Pvt. Ltd.,01-Aug-2016,Open,Maharashtra,3675,No,S,,,,0,3675,0
9990041,01-Aug-2016,GE India Industrial Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,20250,No,S,,,,0,20250,0
9990042,01-Aug-2016,GE India Industrial Pvt. Ltd.,01-Aug-2016,Open,Maharashtra,29841,No,S,,,,0,29841,0
9990043,01-Aug-2016,GE India Industrial Pvt. Ltd.,01-Aug-2016,Open,Maharashtra,180486,No,S,,,,0,180486,0
9990044,01-Aug-2016,GE India Industrial Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,790895.01,No,S,,,,0,790895.01,0
9990045,01-Aug-2016,GE India Industrial Pvt. Ltd.,01-Aug-2016,Closed,Maharashtra,45000,No,S,,,,0,45000,0
9990046,01-Aug-2016,GE India Industrial Pvt. Ltd.,01-Aug-2016,Open,Maharashtra,3544,No,S,,,,0,3544,0
9990047,01-Aug-2016,GE India Industrial Pvt. Ltd.,01-Aug-2016,Open,Maharashtra,2735,No,S,,,,0,2735,0
9990048,01-Aug-2016,GE India Industrial Pvt. Ltd.,01-Aug-2016,Open,Maharashtra,1108,No,S,,,,0,1108,0
9990049,01-Aug-2016,GE India Industrial Pvt. Ltd.,01-Aug-2016,Open,Maharashtra,4444,No,S,,,,0,4444,0
9990050,01-Aug-2016,GE India Industrial Pvt. Ltd.,01-Aug-2016,Open,Maharashtra,21831,No,S,,,,0,21831,0
9990051,01-Aug-2016,GE India Industrial Pvt. Ltd.,01-Aug-2016,Open,Maharashtra,28350,No,S,,,,0,28350,0
9990052,01-Aug-2016,GE India Industrial Pvt. Ltd. (Division: Wind Energy) (Wind India BID code 285005),01-Aug-2016,Open,Maharashtra,770,No,S,,,,0,770,0
9990053,01-Aug-2016,Ingersoll Rand Technologies and Services Pvt. Ltd.,31-Aug-2016,Open,Maharashtra,131248,No,S,,,,0,131248,0
9990054,01-Aug-2016,Quippo Oil and Gas Infrastructure Ltd.,31-Aug-2016,Open,Maharashtra,9807,No,S,,,,0,9807,0
9990055,01-Aug-2016,Quippo Oil and Gas Infrastructure Ltd.,31-Aug-2016,Open,Maharashtra,34193,No,S,,,,0,34193,0
9990056,01-Aug-2016,Reliance Gas Pipelines Ltd.,31-Aug-2016,Open,Maharashtra,7025,No,S,,,,0,7025,0
9990057,01-Aug-2016,Reliance Gas Pipelines Ltd.,31-Aug-2016,Open,Maharashtra,326.73,No,S,,,,0,326.73,0
9990058,01-Aug-2016,Survival Systems India,31-Aug-2016,Closed,Maharashtra,23208.56,No,S,,,,0,23208.56,0
9990059,03-Aug-2016,Henkel Adhesive Technologies India Pvt. Ltd.,02-Sep-2016,Open,Maharashtra,51328.53,No,S,,,,0,51328.53,0
9990060,04-Aug-2016,GE India Industrial Pvt. Ltd.,04-Aug-2016,Closed,Maharashtra,17549.99,No,S,,,,0,17549.99,0
9990061,05-Aug-2016,Applied Materials India Pvt. Ltd.,05-Aug-2016,Closed,Maharashtra,41246.08,No,S,,,,0,41246.08,0
9990062,06-Aug-2016,Applied Materials India Pvt. Ltd.,06-Aug-2016,Closed,Maharashtra,67527.5,No,S,,,,0,67527.5,0
9990063,06-Aug-2016,Applied Materials India Pvt. Ltd.,06-Aug-2016,Closed,Maharashtra,135054.99,No,S,,,,0,135054.99,0
9990064,10-Aug-2016,Applied Materials India Pvt. Ltd.,10-Aug-2016,Closed,Maharashtra,630,No,S,,,,0,630,0
9990065,10-Aug-2016,Alstom Bharat Forge Power Pvt. Ltd.,09-Sep-2016,Open,Maharashtra,25311.5,No,S,,,,0,25311.5,0
9990066,11-Aug-2016,Cummins Technologies India Pvt. Ltd.,11-Aug-2016,Open,Maharashtra,1455.75,No,S,,,,0,1455.75,0
9990067,11-Aug-2016,Alstom Bharat Forge Power Pvt. Ltd.,10-Sep-2016,Open,Maharashtra,1660.32,No,S,,,,0,1660.32,0
9990068,20-Aug-2016,Applied Materials India Pvt. Ltd.,20-Aug-2016,Closed,Maharashtra,1135.66,No,S,,,,0,1135.66,0
9990069,20-Aug-2016,PNP Maritime Services Pvt. Ltd.,19-Sep-2016,Open,Maharashtra,2320,No,S,,,,0,2320,0
9990070,23-Aug-2016,Henkel Adhesive Technologies India Pvt. Ltd.,22-Sep-2016,Open,Maharashtra,3542.19,No,S,,,,0,3542.19,0
9990071,24-Aug-2016,Applied Materials India Pvt. Ltd.,24-Aug-2016,Closed,Maharashtra,325,No,S,,,,0,325,0
9990072,25-Aug-2016,Applied Materials India Pvt. Ltd.,25-Aug-2016,Closed,Maharashtra,85.68,No,S,,,,0,85.68,0
9990073,01-Sep-2016,Applied Materials India Pvt. Ltd.,01-Sep-2016,Closed,Maharashtra,14062.56,No,S,,,,0,14062.56,0
9990074,01-Sep-2016,Applied Materials India Pvt. Ltd.,01-Sep-2016,Closed,Maharashtra,19127.52,No,S,,,,0,19127.52,0
9990075,01-Sep-2016,Cummins Technologies India Pvt. Ltd.,01-Sep-2016,Open,Maharashtra,2159.09,No,S,,,,0,2159.09,0
9990076,08-Sep-2016,Cummins Technologies India Pvt. Ltd.,08-Sep-2016,Open,Maharashtra,7718.29,No,S,,,,0,7718.29,0
9990077,09-Sep-2016,Dr B.R. Ambedkar National Institute of Technology,09-Oct-2016,Open,Maharashtra,21336.75,No,S,,,,0,21336.75,0
9990078,10-Sep-2016,Dr B.R. Ambedkar National Institute of Technology,10-Oct-2016,Open,Maharashtra,640.25,No,S,,,,0,640.25,0
9990079,13-Sep-2016,GE India Industrial Pvt. Ltd.,13-Sep-2016,Closed,Maharashtra,167580,No,S,,,,0,167580,0
9990080,16-Sep-2016,Cairn India Ltd.,16-Oct-2016,Open,Maharashtra,17558.55,No,S,,,,0,17558.55,0
9990081,20-Sep-2016,Henkel Adhesive Technologies India Pvt. Ltd.,20-Oct-2016,Open,Maharashtra,1178.95,No,S,,,,0,1178.95,0
9990082,20-Sep-2016,Alstom Bharat Forge Power Pvt. Ltd.,20-Oct-2016,Open,Maharashtra,7543,No,S,,,,0,7543,0
9990083,22-Sep-2016,Cummins Technologies India Pvt. Ltd.,22-Sep-2016,Open,Maharashtra,532,No,S,,,,0,532,0
9990084,26-Sep-2016,GE India Industrial Pvt. Ltd.,26-Sep-2016,Closed,Maharashtra,366954.18,No,S,,,,0,366954.18,0
9990085,27-Sep-2016,Alstom Bharat Forge Power Pvt. Ltd.,27-Oct-2016,Open,Maharashtra,1507,No,S,,,,0,1507,0
9990086,30-Sep-2016,Henkel Adhesive Technologies India Pvt. Ltd.,30-Oct-2016,Open,Maharashtra,136.5,No,S,,,,0,136.5,0
9990087,01-Oct-2016,GE India Industrial Pvt. Ltd.,01-Oct-2016,Closed,Maharashtra,102640.56,No,S,,,,0,102640.56,0
9990088,01-Oct-2016,Henkel Anand India Pvt. Ltd.,31-Oct-2016,Open,Maharashtra,2555.45,No,S,,,,0,2555.45,0
9990089,06-Oct-2016,Henkel Adhesive Technologies India Pvt. Ltd.,05-Nov-2016,Closed,Maharashtra,11867,No,S,,,,0,11867,0
9990090,10-Oct-2016,Cairn India Ltd.,09-Nov-2016,Open,Maharashtra,43091.18,No,S,,,,0,43091.18,0
9990091,10-Oct-2016,Cummins India Ltd.,10-Oct-2016,Open,Maharashtra,287715.69,No,S,,,,0,287715.69,0
9990092,13-Oct-2016,Henkel Adhesive Technologies India Pvt. Ltd.,12-Nov-2016,Open,Maharashtra,893.79,No,S,,,,0,893.79,0
9990093,14-Oct-2016,Applied Materials India Pvt. Ltd.,14-Oct-2016,Closed,Maharashtra,494,No,S,,,,0,494,0
9990094,14-Oct-2016,Ingersoll Rand Technologies and Services Pvt. Ltd.,13-Nov-2016,Open,Maharashtra,47670,No,S,,,,0,47670,0
9990095,17-Oct-2016,GE India Industrial Pvt. Ltd.,17-Oct-2016,Open,Maharashtra,592.4,No,S,,,,0,592.4,0
