#,Date,Vendor,Remarks,Due Date,Document Total in SC,Purchase Order Status,Document Status,Document Total,Canceled,Branch,Project,Project Code,BPL Name,Tax Amount (SC)
1,29-Mar-2018,Stable Micro Systems Ltd.,,29-Mar-2018,2037467.69,Supplier PO Created,Closed,2037467.69,No,Maharashtra,,18197-Texture Analyser_Henkel Koparkhairne,0,0
2,10-Jan-2018,Divine Engineering,Based On Sales Orders 99999035.,17-Jan-2018,4602,Supplier PI / Invoice Awaited,Closed,4602,Yes,Maharashtra,,16033-Fwd: Quotation for Hardware and tools,0,702
3,29-Mar-2018,SRS Innovative Solutions,,29-Mar-2018,108276.8,Supplier PI / Invoice Awaited,Closed,108276.8,Yes,Maharashtra,,18895-Fwd: Quotation required for tools & equipments.,0,16516.8
330285,21-Mar-2018,Ferro Foundries Pvt. Ltd.,,21-Mar-2018,14750,Supplier PI / Invoice Awaited,Closed,14750,No,Maharashtra,,9352-Scissor Slim Lift,0,2250
3300046,19-Jul-2017,Aayushi Enterprises,,19-Jul-2017,1301.76,Supplier PI delayed,Open,1301.76,No,Maharashtra,,8480-Electrical material required at ETP MCC,0,284.76
3300051,19-Jul-2017,Sharon Controls India Pvt. Ltd.,,19-Jul-2017,1322.78,Supplier PI delayed,Open,1322.78,No,Maharashtra,,8480-Electrical material required at ETP MCC,0,201.78
3300053,24-Apr-2018,Electrical Control Sysem,,24-Apr-2018,1110.38,Supplier PI delayed,Closed,1110.38,No,Maharashtra,,8480-Electrical material required at ETP MCC,0,169.38
3300054,19-Jul-2017,Standard Electric Co,,19-Jul-2017,84538.27,Supplier PI / Invoice Awaited,Closed,84538.27,No,Maharashtra,,8480-Electrical material required at ETP MCC,0,12895.67
3300055,19-Jul-2017,S.R. Enterprises,,19-Jul-2017,12249.6,Supplier PI delayed,Open,12249.6,No,Maharashtra,,8480-Electrical material required at ETP MCC,0,2679.6
3300057,19-Jul-2017,Atlantic Sales and Service,,19-Jul-2017,1534,Supplier PI delayed,Closed,1534,No,Maharashtra,,8480-Electrical material required at ETP MCC,0,234
3300059,19-Jul-2017,Shashi EngiCon Pvt. Ltd.,,19-Jul-2017,14246.4,Supplier PI delayed,Open,14246.4,No,Maharashtra,,8480-Electrical material required at ETP MCC,0,3116.4
3300060,19-Jul-2017,Dodia Electricals,,19-Jul-2017,1664,Supplier PI delayed,Open,1664,No,Maharashtra,,8480-Electrical material required at ETP MCC,0,364
3300061,19-Jul-2017,PRATHAM INDUSTRIAL CORPORATION,,19-Jul-2017,1509,Supplier PI delayed,Closed,1509,No,Maharashtra,,8480-Electrical material required at ETP MCC,0,230.2
3300171,08-Aug-2017,Total Sporting And Fitness Solution Pvt Ltd.,,08-Aug-2017,78750,Supplier PI delayed,Open,78750,No,Maharashtra,,10386-Fwd: RFQ for hand sleeves,0,3750
3300462,04-Oct-2017,Cameron Middle East FZE,,04-Oct-2017,526972.52,Supplier PI delayed,Closed,526972.52,No,Maharashtra,,12303-Cairn -  Jiskoot Spare parts,0,0
3300475,05-Oct-2017,Aakar Scientific Pvt. Ltd.,,05-Oct-2017,1064340.48,Supplier PI delayed,Closed,1064340.48,No,Maharashtra,,8348-Fwd: FW: Lab Documents,0,232824.48
3300476,05-Oct-2017,Ratan Ancillaries,,06-Oct-2017,191537.6,Supplier PI / Invoice Awaited,Closed,191537.6,No,Maharashtra,,8348-Fwd: FW: Lab Documents,0,29217.6
3300477,05-Oct-2017,Promivac Engineers,,06-Oct-2017,13393,Supplier PI / Invoice Awaited,Open,13393,No,Maharashtra,,8348-Fwd: FW: Lab Documents,0,2043
