#,Date,Customer,Remarks,Due Date,Branch,Document Total (FC),Document Total (SC),Document Status,Canceled,Document Total,Project,Inside Sales Owner,Cancelation Date,Original Ref. No.,Tax Amount (SC)
210200480,27-Mar-2018,Henkel Adhesive Technologies India Pvt. Ltd.,,27-Jun-2018,Maharashtra,0,111789.47,Closed,No,111789.47,18689,Rajani Kyatham,27-Jul-2018,,17052.63
108000016,26-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10644.,27-Apr-2019,TamilNadu,0,2443.49,Open,No,2443.49,33999,Mrunal Malkar,27-May-2019,,372.74
108000015,24-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10606.,26-Apr-2019,TamilNadu,0,62342.46,Open,No,62342.46,33827,Mrunal Malkar,26-May-2019,,8156.12
108000014,24-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10588.,26-Apr-2019,TamilNadu,0,32304.6,Open,No,32304.6,33829,Mrunal Malkar,26-May-2019,,3984.1
108000013,17-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10450.,23-Apr-2019,TamilNadu,0,15163,Closed,No,15163,33745,Mrunal Malkar,23-May-2019,,2313
108000012,15-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10375.,31-May-2019,TamilNadu,0,83320,Open,No,83320,33494,Mrunal Malkar,30-Jun-2019,,0
108000011,15-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10370.,19-Apr-2019,TamilNadu,0,31437.63,Closed,No,31437.63,33492,Mrunal Malkar,19-May-2019,,4726.08
108000010,10-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10284.,17-Apr-2019,TamilNadu,0,13047.26,Open,No,13047.26,33211,Mrunal Malkar,17-May-2019,,1990.26
108000009,10-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10250.,16-Apr-2019,TamilNadu,0,10683.72,Closed,No,10683.72,33405,Mrunal Malkar,16-May-2019,,1629.72
108000008,08-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10177.,09-Apr-2019,TamilNadu,0,3352.38,Closed,No,3352.38,33250,Mrunal Malkar,09-May-2019,,511.38
108000007,08-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10181.,09-Apr-2019,TamilNadu,0,1005.72,Closed,No,1005.72,32732,Mrunal Malkar,09-May-2019,,153.42
108000006,08-Apr-2019,Piramal Enterprises Ltd.,Based On Sales Quotations 10216.,11-Apr-2019,TamilNadu,0,6372,Closed,No,6372,33441,Mrunal Malkar,11-May-2019,,972
