name,description
EA,Each
SET,Set
PK,Package
KG,Kilogram
M,Meter
FT,Foot
Pack,Package
Pair,Pair
PR,Pair
BOX,Box
LTR,Liter
LT,Liter
MTR,Meter
ROLL,Roll
Nos,Numbers
PKT,Package
REEL,Reel
FEET,Feet
Meter,Meter
1 ROLL,Roll of 1
LOT,Lot
No,Numbers
RFT,Running foot
Bundle,Bundle
NPkt,Number of Package
Metre,Meter
CAN,Can
SQ.Ft,Square Feet
BOTTLE,Bottle
CUBIC METER,Cubic Meter
PC,Piece
GRAM,Grams
EACH,Each
FOOT,Foot
Dozen,Dozen 12 units
INCH,Inches
Ream,500 sheets of paper
Bag,Bag
Unit,Units
MT,Metric Ton
KIT,Kit
SQ INCH,Squary Inch
CASE,Case
MAD,MAD
SQ METER,Square Meter
ML,Milliliter
KM,Kilometer
Quarter,Quarter
M3,Metric Cube
KL,Kiloliter
Pound lb,Pounds
DRUM,Drum
Cubic Feet,Cubic Feet
M2,Meter Square
TON,Ton
RM,Ream
