Chapter,Heading,Subheading,Description,Code,Internal Key,Is Service
1001,,,WHEAT AND MESLIN - DURUM WHEAT :,1001,10284,FALSE
1001,10,,DURUM WHEAT,100110,10285,FALSE
1001,10,10,WHEAT AND MESLIN DURUM WHEAT : OF SEED QUALITY,10011010,10286,FALSE
1001,10,90,WHEAT AND MESLIN DURUM WHEAT : OTHER,10011090,10287,FALSE
1001,11,,DURUM WHEAT,100111,10288,FALSE
1001,11,0,SEED,1001110,10289,FALSE
1001,19,,OTHER,100119,10290,FALSE
1001,19,0,OTHER,1001190,10291,FALSE
1001,90,,OTHER,100190,10292,FALSE
1001,90,10,WHEAT AND MESLIN OTHER : WHEAT OF SEED QUALITY,10019010,10293,FALSE
1001,90,20,WHEAT AND MESLIN OTHER : OTHER WHEAT,10019020,10294,FALSE
1001,90,31,WHEAT AND MESLIN OTHER : MESLIN : OF SEED QUALITY,10019031,10295,FALSE
1001,90,39,WHEAT AND MESLIN OTHER : MESLIN : OTHER,10019039,10296,FALSE
1001,91,,OTHER,100191,10297,FALSE
1001,91,0,SEED,1001910,10298,FALSE
1001,99,,OTHER,100199,10299,FALSE
1001,99,10,WHEAT,10019910,10300,FALSE
1001,99,20,MESLIN,10019920,10301,FALSE
1002,,,RYE,1002,10302,FALSE
1002,0,,RYE,10020,10303,FALSE
1002,0,10,RYE RYE : OF SEED QUALITY,1002010,10304,FALSE
1002,0,90,RYE RYE : OTHER,1002090,10305,FALSE
1002,10,,RYE SEED,100210,10306,FALSE
1002,10,0,SEED,1002100,10307,FALSE
1002,90,,OTHER,100290,10308,FALSE
1002,90,0,OTHER,1002900,10309,FALSE
1003,,,BARLEY,1003,10310,FALSE
1003,0,,BARLEY,10030,10311,FALSE
1003,0,10,BARLEY BARLEY : OF SEED QUALITY,1003010,10312,FALSE
1003,0,90,BARLEY BARLEY : OTHER,1003090,10313,FALSE
1003,10,,SEED,100310,10314,FALSE
1003,10,0,SEED,1003100,10315,FALSE
1003,90,,OTHER,100390,10316,FALSE
1003,90,0,OTHER,1003900,10317,FALSE
1004,,,OATS,1004,10318,FALSE
