Chapter,Heading,Subheading,Description,,Internal Key,Code,,,,,,,,,,,,,,
105,,,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS - WEIGHING",105..,25137,105,,,,,,,,,,,,,,
2902,11,0,"CYCLIC HYDROCARBONS - CYCLANES, CYCLENES AND CYCLOTERPENES : CYCLOHEXANE",2902.11.00,25138,29021100,,,,,,,,,,,,,,
2902,19,0,"CYCLIC HYDROCARBONS - CYCLANES, CYCLENES AND CYCLOTERPENES : OTHER",2902.19.00,25139,29021900,,,,,,,,,,,,,,
2902,20,0,CYCLIC HYDROCARBONS- BENZENE,2902.20.00,25140,29022000,,,,,,,,,,,,,,
2902,30,0,CYCLIC HYDROCARBONS -TOLUENE,2902.30.00,25141,29023000,,,,,,,,,,,,,,
2902,41,0,CYCLIC HYDROCARBONS - XYLENES : O-XYLENE,2902.41.00,25142,29024100,,,,,,,,,,,,,,
2902,42,0,CYCLIC HYDROCARBONS - XYLENES : M-XYLENE,2902.42.00,25143,29024200,,,,,,,,,,,,,,
2902,43,0,CYCLIC HYDROCARBONS - XYLENES : P-XYLENE,2902.43.00,25144,29024300,,,,,,,,,,,,,,
2902,44,0,CYCLIC HYDROCARBONS - XYLENES : MIXED XYLENE ISOMERS,2902.44.00,25145,29024400,,,,,,,,,,,,,,
2902,50,0,CYCLIC HYDROCARBONS - STYRENE,2902.50.00,25146,29025000,,,,,,,,,,,,,,
2902,60,0,CYCLIC HYDROCARBONS - ETHYLBENZENE,2902.60.00,25147,29026000,,,,,,,,,,,,,,
2902,70,0,CYCLIC HYDROCARBONS - CUMENE,2902.70.00,25148,29027000,,,,,,,,,,,,,,
2903,12,0,HALOGENATED DERIVATIVES OF HYDROCARBONS - SATURATED CHLORINATED DERIVATIVES OF ACYCLIC HYDROCARBONS : DICHLOROMETHANE (,2903.12.00,25149,29031200,,,,,,,,,,,,,,
2903,13,0,HALOGENATED DERIVATIVES OF HYDROCARBONS - SATURATED CHLORINATED DERIVATIVES OF ACYCLIC HYDROCARBONS : CHLOROFORM (TRICH,2903.13.00,25150,29031300,,,,,,,,,,,,,,
2903,14,0,HALOGENATED DERIVATIVES OF HYDROCARBONS - SATURATED CHLORINATED DERIVATIVES OF ACYCLIC HYDROCARBONS : CARBON TETRACHLOR,2903.14.00,25151,29031400,,,,,,,,,,,,,,
2903,15,0,HALOGENATED DERIVATIVES OF HYDROCARBONS - SATURATED CHLORINATED DERIVATIVES OF ACYCLIC HYDROCARBONS -- ETHYLENE DICHLOR,2903.15.00,25152,29031500,,,,,,,,,,,,,,
2903,21,0,HALOGENATED DERIVATIVES OF HYDROCARBONS - UNSATURATED CHLORINATED DERIVATIVES OF ACYCLIC HYDROCARBONS : VINYL CHLORIDE ,2903.21.00,25153,29032100,,,,,,,,,,,,,,
2903,22,0,HALOGENATED DERIVATIVES OF HYDROCARBONS - UNSATURATED CHLORINATED DERIVATIVES OF ACYCLIC HYDROCARBONS : TRICHLOROETHYLE,2903.22.00,25154,29032200,,,,,,,,,,,,,,
