document_type,series_name,last_series_number
Sales Order,LWP 2019,102000978
Sales Order,ALT 2019,101000001
Sales Order,PUN 2019,103000001
Sales Order,BOP 2019,104000356
Sales Order,MAN 2019,109000001
Sales Order,OKH 2019,105000138
Sales Order,JNK 2019,106000001
Sales Order,CHE 2019,108000053
Sales Order,HYD 2019,107000025
Purchase Order,LWP 2019,402001308
Purchase Order,ALT 2019,401000001
Purchase Order,PUN 2019,403000001
Purchase Order,BOP 2019,404000450
Purchase Order,MAN 2019,409000001
Purchase Order,OKH 2019,405000131
Purchase Order,JNK 2019,406000026
Purchase Order,CHE 2019,408000076
Purchase Order,HYD 2019,407000086
