missing sku in order,order number,resolved,
BM9F1K1,201942,,
Bm00038,10200181,,
Bm00034,10200183,,
BM9V8B3,10210599,,
BM9V8B3,10210599,,
BM9Y9B6,10210677,,
BM9X4C8,10210710,,
BM9X4C8,10210710,,
BM9P8G1,10210738,,
BM9R8V1,10211780,,
BM9S7R1,10211803,,
BM9I2D2,10211813,,
BM00008,10211829,,
BM9F4U9,10211830,,
BM9Q2D9,10211882,,
BM0C9M8,10211890,,
BM9W7K0,10211919,,
BM9F0U3,10211920,,
BM9O8H6,10212052,,
BM9U5J3,10212055,,
BM9X8X5,10212121,,
BM9Z5S2,10212127,,
BM9H5O6,10212147,,
BM9M1S6,10212206,,
BM0Z6G1,10212235,,
BM9H6P6,10212270,,
BM9Y0C8,10212271,,
BM9V4U1,10212281,,
BM9K0D8,10212294,,
BM9P0E3,10212313,,
BM9R3K0,10212315,,
BM9K2K3,10212477,,
BM9A3O8,10212493,,
BM9O6B9,10212527,,
BM9D9V3,10610314,,
BM9O7X8,10610764,,
BM9G8N5,10610769,,
BM9D9H2,10610791,,
BM9S0W3,10610812,,
BM9Q2L6,10910268,,
BM9A0B7,10910326,,
BM9F3C8,2000035-1,,
BM0C6Z9,Order1,,
BM0C6Z9,Order2,,
BM1A3Z0,ONGC1,,
BM1A3U6,Cummins1,,
BM0Z0I9,Cummins2,,
BM0K8G0,Sasan Power1,,
BM9B1W4,ONGC2,,
BM9B5T5,AMAT1,,
BM9A2Y4,CAIRN1,,
BM9B4G4,Allison Transmission1,,
BM9A6U8,IR1,,
BM0O8X3,BPS1,,
BM9U8B1,10610968,Yes,"All belong to a kit product BM9J6Z0 which is already present in the order, total matched"
BM9Q1N2,10610968,,
BM9W1G3,10610968,,
BM9Z6P3,10610968,,
BM9V3I1,10212541,Yes,"Kit product BM9H9I0 is already present in the order, total matched"
BM9G0J5,10212541,,
BM9B9D5,10212559,Yes,"Kit product BM9C8P4 is already present in the order, total matched"
BM9R4H8,10212559,,
BM9W9R7,10212559,,
BM9K3D4,10212559,,
BM9Z8S0,10610850,Yes,"Total matched, kit product"
BM9O7U1,10610850,,
BM9Y2O5,10212335,,
BM9W1R1,10212335,,
BM9S7I2,10610753,,
CUM01,CUM01,,
