Item_No,ItemDescription,Service_or_Material,TCS
BM9W4O9,Aggregator Service- Insurance Policy for winders WBSEE0-005076-114 Project- NTPC Sipat PM- Prashant,Service,Yes
BM00016,Air Export Freight Charge,Service,Yes
BM9M1M7,Air Export Freight Charge (Deleted),Service,Yes
BM9P2Y7,Air Export Freight Charges-BM9P2Y7,Service,Yes
BM9T8J5,Airfreight Cost,Service,Yes
BM00028,BULK MRO APPROVED Freight Charges,Service,Yes
BM9M3S8,BULK MRO APPROVED Freight Charges (Deleted),Service,Yes
BM9H5E7,BULK MRO APPROVED P/F and Freight,Service,Yes
BM00001,Custom Clearance Charges,Service,Yes
BM00002,Custom Duty,Service,Yes
BM9J2O0,Customs House Agent Cost,Service,Yes
BM9W7N4,Dangerous Goods Declaration and Packing,Service,Yes
BM9P1O8,"Dismental, Packing Supervision & Re Installation of Shimadzu UTM Model AGSX-50KN & 500N",Service,Yes
BM9M1W2,"Door Delivery Freight, Custom Duty and Custom Clearance Charges with reference to Henkel PO- 4591251",Service,Yes
BM00008,Freight,Service,Yes
BM9L3P1,Freight - BM9L3P1-BM9L3P1,Service,Yes
BM9C4L6,Freight (Deleted)-BM9C4L6,Service,Yes
BM00027,Freight and Insuarance,Service,Yes
BM9N3G9,Freight and Insurance (Deleted),Service,Yes
BM80018,Freight Inward-BM80018,Service,Yes
BM00005,Handling Charges,Service,Yes
BM00022,HANDLING COST - Service,Service,Yes
BM9M9T6,HANDLING COST - Service-BM9M9T6,Service,Yes
BM9B3Q2,Installation Freight Charges Service Tax,Service,Yes
BM00000,Insurance - Service,Service,Yes
BM99910,Octroi-Freight-Packing Charges,Service,Yes
BM9H0E7,One Time Customization Charges,Service,Yes
BM9Q2Z1,Outer Packing Charges,Service,Yes
BM00013,Packing,Service,Yes
BM00040,Packing and Forwarding,Service,Yes
BM99999,Packing and forwarding,Service,Yes
BM9L4R1,Packing Charges,Service,Yes
BM80021,Packing Charges-BM80021,Service,Yes
Freight,Shipping And Packing-Freight,Service,Yes
