ItemNo,ItemDescription,Service_or_Material,TCS
BM9J2K8,1 SCADA PC Service,Service,No
BM9Y8T7,"1""  bBRASS VALVE FIXING JOINT",Service,No
BM9I7J4,"1"" High Density Polyethylene Nozzle FEB Work",Service,No
BM9A5P3,"1"" High Density Polyethylene Pipe FEB Joint",Service,No
BM9Q7L3,"1"" Pipe for Ladder Fabrication (320m)",Service,No
BM9O5Y3,"1"" Polypropylene Random Copolymer Pipe FEB Work",Service,No
BM9T3K9,"1"" PPNRV FIXING JOINT",Service,No
BM9R1X3,"1"" PPRC ELBOW FIXING JOINT",Service,No
BM9Z9E4,"1"" PPRC PIPE FEB",Service,No
BM9W9R9,"1"" PPRC SOCKET FIXING JOINT",Service,No
BM9W6U9,"1"" PPRC STUB END FLANGE FIXING",Service,No
BM9X8T2,"1"" PPRC TEE FIXING",Service,No
BM9W6C1,"1"" X 2"" TEE PPRC FIXING JOINT 1""",Service,No
BM9A9O7,1.1 Dismant and Shifting of Pipeline (7089),Service,No
BM9K3Z2,1.1 Excacation (7050),Service,No
BM9G0C0,"1.1 Fab & Erect of 1""NB CS Pipe (450 Mtrs)",Service,No
BM9Y1O6N,"1.1 Fab & Erect of 6""nb Ltcs Line (70 Jt)",Service,No
BM9Q8V1,"1.1 Fab, Erect and Weld for Structural Steel",Service,No
BM9U2N1,"1.1 Feb.Erect of 12""NB Diffuser Pipe (15jts)",Service,No
BM9K6J3,1.10 Angal (65*65*8) (7050),Service,No
BM9W3X2,"1.10 Fab & Erect of 1""NB SS Pipe",Service,No
BM9O2G1,"1.11 Fab & Erect of 1""NB CS Pipe",Service,No
BM9Q3K0,1.11 GP2 Grouting (7050),Service,No
BM9A6G3R,"1.12 Fab & Erect of 1.5""NB CS Pipe",Service,No
BM9J6T0,"1.13 Fab & Erect of 2""NB CS Pipe",Service,No
BM9S0H9,"1.13 Making Slotted Holes in 12"" NB Diffuser",Service,No
BM9G9A2V,"1.14 Fab & Erect of 3""NB CS Pipe",Service,No
BM9S9Q6,"1.15 Fab & Erect of 1""NB SS Pipe",Service,No
BM9T3Y4,"1.16 Fab & Erect of 2""NB SS Pipe",Service,No
BM9C5W4,"1.17 Fab & Erect of 4""NB LTCS Pipe",Service,No
BM9W7D8L,"1.18 Fab & Erect of 3""NB LTCS Pipe",Service,No
BM9N9H0F,"1.19 Fab & Erect of 2""NB LTCS Pipe",Service,No
BM9G0X3,1.2 Aluminium Partition (6788),Service,No
BM9B8A6I,"1.2 Fab & Erect of 1.5""NB CS Pipe (114 Mtrs)",Service,No
BM9I2R8,"1.2 Fab & Erect of 4""nb Ltcs Line (15 Jts)",Service,No
BM9R9J8,"1.2 Fab & Erect of New 12"" NB (7089)",Service,No
BM9R9O5,"1.20 Fab & Erect of 1""NB LTCS Pipe",Service,No
BM9H1C2,1.21 Installation of Valves,Service,No
BM9F3G2Q,1.3 Aluminium Partition (6788),Service,No
BM9H7D6,1.3 Back Filling (7050),Service,No
BM9H0A7,"1.3 Fab & Erect of 1.5""NB SS Pipe (144 Mtrs)",Service,No
BM9W6J3,"1.3 Fab & Erect of 2""nb Ltcs Line (6 Jts)",Service,No
BM9K7C3,1.4 Aluminium Door (6788),Service,No
BM9C0E7,1.4 Corrosion Pad Welding on Pipeline (7089),Service,No
BM9Z9J7,"1.4 Fab & Erect of 1""nb Ltcs Line (15 Jts)",Service,No
BM9T2S3,"1.4 Fab & Erect of 2""NB CS Pipe (486 Mtrs)",Service,No
BM9E9G9,1.4 Rubble Solling (7050),Service,No
BM9X6V8,1.5 Aluminium Window (6788),Service,No
BM9T6Q2,"1.5 Fab & Erect of 2""NB SS Pipe (480 Mtrs)",Service,No
BM9X8L2,1.5 Fab & Erect of Structural Steel,Service,No
BM9I7F4,1.5 Shuttering (7050),Service,No
BM9G4U9,"1.6 Fab & Erect of 4""NB CS Pipe (60 Joints)",Service,No
BM9X2P3,1.6 Installation of Valves,Service,No
