document+AF8-type,series+AF8-name,series,period+AF8- indicator,length
Sales Order,BHW 2019,114,FY2019+AC0-20,9
A/R Invoice,BHW 2019,264,FY2019+AC0-20,9
Delivery,BHW 2019,312,FY2019+AC0-20,9
Purchase Order,BHW 2019,418,FY2019+AC0-20,9
GRPO,BHW 2019,513,FY2019+AC0-20,9
A/P Invoice,BHW 2019,647,FY2019+AC0-20,9
Sales Order,AMB 2019,115,FY2019+AC0-20,9
A/R Invoice,AMB 2019,265,FY2019+AC0-20,9
Delivery,AMB 2019,313,FY2019+AC0-20,9
Purchase Order,AMB 2019,419,FY2019+AC0-20,9
GRPO,AMB 2019,514,FY2019+AC0-20,9
A/P Invoice,AMB 2019,648,FY2019+AC0-20,9
