inquiry_number,client order date,order_number,old_order_number,order date,SKU,sprint_total,sprint_total_with_tax,bible_total,bible_total_with_tax,mismatch(total with tax),,total with tax mismatch(sprint - bible),Analysis notes,Kit order
4880,4-Jul-2016,200002,nil,4-Jul-2016,BM9A3K3,16111.11,18205.55,16111.11,18125.00,80.56,,80.56,,
4670,1-Aug-2016,200005,nil,1-Aug-2016,BM9B4G1,2040.00,2305.20,2040.00,2295.00,10.20,,10.20,,
5415,26-Jul-2016,200013,nil,26-Jul-2016,BM9A9R2,914.00,959.70,2079.40,2183.37,1223.67,,-1223.67,,
9096,22-Feb-2017,200015,nil,22-Feb-2017,BM9F1P7,78056.00,78056.00,1945600.00,1945600.00,1867544.00,,-1867544.00,,
5269,2-Aug-2016,200019,nil,2-Aug-2016,BM0O4T9,3000.00,3420.00,15600.00,17784.00,14364.00,,-14364.00,,
5533,2-Aug-2016,200020,nil,2-Aug-2016,BM0O3Y7,15400.00,15400.00,15680.00,15680.00,280.00,,-280.00,,
5534,27-Jul-2016,200021,nil,27-Jul-2016,BM9B2U5,198924.73,224784.94,198924.73,223790.32,994.62,,994.62,,
5455,2-Aug-2016,200022,nil,2-Aug-2016,BM9A5Y9,94140.00,106378.20,94140.00,105907.50,470.70,,470.70,,
4401,12-Jul-2016,200026,nil,12-Jul-2016,BM9B4S5,756000.00,854280.00,756000.00,850500.00,3780.00,,3780.00,,
3383,1-Jun-2016,200028,nil,1-Aug-2016,BM1F7Q1,2396394.00,2707925.22,2417004.01,2719129.51,11204.29,,-11204.29,,
5518,2-Aug-2016,200030,nil,2-Aug-2016,BM9B3L5,9600.00,10848.00,15600.00,17550.00,6702.00,,-6702.00,,
5349,1-Aug-2016,200035,nil,1-Aug-2016,BM9A9A3,90750.00,102547.50,90750.00,102093.75,453.75,,453.75,,
5680,1-Aug-2016,200036,nil,1-Aug-2016,BM9A9A3,9900.00,11187.00,9900.00,11137.50,49.50,,49.50,,
5409,4-Aug-2016,200037,nil,4-Aug-2016,BM9A9S1,14254.12,16107.16,14254.12,16035.89,71.27,,71.27,,
5351,4-Aug-2016,200040,nil,4-Aug-2016,BM9B2J7,3925.00,4435.25,3925.00,4415.63,19.63,,19.63,,
5701,4-Aug-2016,200046,nil,4-Aug-2016,BM0J2N5,94.11,106.34,423.27,476.18,369.83,,-369.83,,
5469,25-Jul-2016,200050,nil,25-Jul-2016,BM9B1L2,3937.50,4134.38,11871.75,12465.34,8330.96,,-8330.96,,
5249,5-Aug-2016,200053,nil,5-Aug-2016,BM9A8J2,2073.68,2343.26,36663.18,41246.08,38902.82,,-38902.82,,
5710,11-Aug-2016,200056,nil,31-Jul-2016,BM1A6Q7,505.58,525.80,757.58,787.88,262.08,,-262.08,,
5319,6-Jul-2016,200060,nil,6-Jul-2016,BM9A8T4,60024.44,67827.62,120048.88,135054.99,67227.37,,-67227.37,,
5401,6-Jul-2016,200061,nil,6-Jul-2016,BM9A8T6,60024.44,67827.62,60024.44,67527.50,300.12,,300.12,,
5691,5-Aug-2016,200062,nil,5-Aug-2016,BM9A8C8,8200.00,9266.00,63140.00,71032.50,61766.50,,-61766.50,,
5709,6-Aug-2016,200063,nil,6-Aug-2016,BM0C7D3,626.40,663.98,1263.52,1339.33,675.35,,-675.35,,
3216,4-Apr-2016,200068,nil,4-Apr-2016,BM1A9I9,4695.00,5399.25,82819.00,95241.85,89842.60,,-89842.60,,
5612,2-Aug-2016,200073,nil,2-Aug-2016,BM9B4A4,1294.00,1462.22,1294.00,1455.75,6.47,,6.47,,
5593,8-Aug-2016,200074,nil,8-Aug-2016,BM9B4A1,5529.42,6248.24,5529.42,6220.60,27.65,,27.65,,
5634,27-Jul-2016,200078,nil,27-Jul-2016,BM9A5Y9,87201.30,98537.47,87201.30,98101.46,436.01,,436.01,,
5461,1-Jul-2016,200081,nil,1-Jul-2016,BM9B1E6,2390.00,2700.70,2390.00,2688.75,11.95,,11.95,,
5704,4-Aug-2016,200083,nil,4-Aug-2016,BM0L0C1,2985.00,3134.25,32857.50,34500.38,31366.13,,-31366.13,,
5702,4-Aug-2016,200084,nil,4-Aug-2016,BM0K8G0,38900.00,44735.00,58637.04,67432.60,22697.60,,-22697.60,,
5733,8-Aug-2016,200087,nil,8-Aug-2016,BM0K8U4,9360.00,9828.00,59795.00,62784.75,52956.75,,-52956.75,,
5688,4-Aug-2016,200088,nil,4-Aug-2016,BM9B4W3,6000.00,6780.00,6000.00,6750.00,30.00,,30.00,,
5545,9-Aug-2016,200092,nil,9-Aug-2016,BM9B3G1,6088.00,6392.40,89793.90,94283.60,87891.20,,-87891.20,,
4436,18-Jul-2016,200093,nil,18-Jul-2016,BM9B3T4,67052.86,76440.26,928408.03,1058385.15,981944.89,,-981944.89,,
5744,9-Aug-2016,200094,nil,9-Aug-2016,BM1B2N7,1941.60,2232.84,39129.60,44999.04,42766.20,,-42766.20,,
5749,10-Aug-2016,200096,nil,10-Aug-2016,BM0L0C1,2985.00,3134.25,24835.00,26076.75,22942.50,,-22942.50,,
5751,11-Aug-2016,200102,nil,11-Aug-2016,BM0O4V2,2800.00,3192.00,10150.00,11571.00,8379.00,,-8379.00,,
4966,11-Aug-2016,200103,nil,11-Aug-2016,BM9A9T2,2000.00,2100.00,22469.02,23592.47,21492.47,,-21492.47,,
5747,10-Aug-2016,200104,nil,10-Aug-2016,BM1A7N0,70000.00,79100.00,70000.00,78750.00,350.00,,350.00,,
5768,11-Aug-2016,200105,nil,11-Aug-2016,BM0I0R4,866.66,979.33,1066.66,1199.99,220.67,,-220.67,,
5796,16-Aug-2016,200120,nil,16-Aug-2016,BM0C7K0,316.00,328.64,568.00,590.72,262.08,,-262.08,,
5199,12-Aug-2016,200121,nil,12-Aug-2016,BM9B4E3,9690.00,10174.50,28080.00,29484.00,19309.50,,-19309.50,,
5785,16-Aug-2016,200122,nil,16-Aug-2016,BM9B5T4,816.00,922.08,816.00,918.00,4.08,,4.08,,
5805,16-Aug-2016,200125,nil,16-Aug-2016,BM0O4V2,33600.00,38304.00,48300.00,55062.00,16758.00,,-16758.00,,
5303,16-Aug-2016,200127,nil,16-Aug-2016,BM9B4W1,23830.00,25259.80,34337.50,36397.75,11137.95,,-11137.95,,
5810,17-Aug-2016,200128,nil,17-Aug-2016,BM0C8Y9,315.00,327.60,567.00,589.68,262.08,,-262.08,,
5594,1-Jul-2016,200132,nil,1-Jul-2016,BM0O9Q4,4116.00,4321.80,5292.00,5556.60,1234.80,,-1234.80,,
4668,26-May-2016,200133,nil,26-May-2016,BM0K9B1,96.00,110.40,18015.15,20717.42,20607.02,,-20607.02,,
5686,17-Aug-2016,200134,nil,17-Aug-2016,BM0K8K8,936.00,982.80,8138.00,8544.90,7562.10,,-7562.10,,
5763,17-Aug-2016,200135,nil,17-Aug-2016,BM9B5W5,10817.00,12223.21,10817.00,12169.13,54.08,,54.08,,
5732,2-Aug-2016,200138,nil,2-Aug-2016,BM9B5D5,198852.80,210783.97,2356885.41,2498298.53,2287514.57,,-2287514.57,,
4468,1-Jun-2016,200139,nil,1-Jun-2016,BM9A5D8,195212.79,220590.45,195212.79,219614.39,976.06,,976.06,,
5853,18-Aug-2016,200146,nil,18-Aug-2016,BM9A2W9,12456.00,14324.40,46342.40,53293.76,38969.36,,-38969.36,,
5340,18-Aug-2016,200147,nil,18-Aug-2016,BM9B1M5,15625.00,17656.25,67369.00,75790.13,58133.88,,-58133.88,,
5863,19-Aug-2016,200149,nil,19-Aug-2016,BM3C6Q8,127.50,144.08,2364.80,2660.40,2516.33,,-2516.33,,
5585,11-Aug-2016,200151,nil,11-Aug-2016,BM9B3N8,24750.00,26235.00,29150.00,30899.00,4664.00,,-4664.00,,
5645,2-Aug-2016,200156,nil,2-Aug-2016,BM0K8H8,744.00,781.20,28896.30,30341.12,29559.92,,-29559.92,,
4899,10-Jun-2016,200157,nil,10-Jun-2016,BM0K8G2,19435.00,20406.75,77740.00,81627.00,61220.25,,-61220.25,,
5008,16-Jul-2016,200158,nil,16-Jul-2016,BM9A5W8,43937.50,49649.38,43937.50,49429.69,219.69,,219.69,,
3639,4-Jul-2016,200159,nil,4-Jul-2016,BM1B2T0,805166.00,909837.58,805166.00,905811.75,4025.83,,4025.83,,
5875,20-Aug-2016,200160,nil,20-Aug-2016,BM0C8I0,2322.58,2438.71,6958.06,7305.96,4867.25,,-4867.25,,
3185,6-Feb-2016,200161,nil,6-Feb-2016,BM0O4V1,792.00,894.96,75424.00,84852.00,83957.04,,-83957.04,,
1975,28-Sep-2015,200162,nil,28-Sep-2015,BMC6G9G,16626.00,18787.38,234693.00,264029.63,245242.25,,-245242.25,,
5044,17-Jun-2016,200163,nil,17-Jun-2016,BM1B1Y3,49750.00,50745.00,517378.64,527726.21,476981.21,,-476981.21,,
5480,17-Aug-2016,200164,nil,1-Oct-2016,BM9B2S7,219350.00,230317.50,236737.50,248574.38,18256.88,,-18256.88,,
3624,1-Apr-2016,200165,nil,1-Apr-2016,BM0O4R4,1950.00,2203.50,141162.68,158808.02,156604.52,,-156604.52,,
3624,2-Jun-2016,200165,nil,2-Jun-2016,BM0O4R0,490.00,553.70,490.00,551.25,2.45,,2.45,,
5780,22-Aug-2016,200166,nil,22-Aug-2016,BM9B3Z8,7500.00,8475.00,8100.00,9112.50,637.50,,-637.50,,
1133,6-Jun-2015,200167,nil,6-Jun-2015,BM0L8R9,63000.00,71190.00,88467.00,99525.38,28335.38,,-28335.38,,
5341,5-Jul-2016,200168,nil,5-Jul-2016,BM9A8W6,5030.00,5683.90,5030.00,5658.75,25.15,,25.15,,
4187,20-Apr-2016,200169,nil,20-Apr-2016,BM1B0W4,180000.00,201600.00,406723.01,455529.77,253929.77,,-253929.77,,
2804,19-Feb-2016,200170,nil,4-May-2016,BM1A3S3,273752.00,309339.76,405228.00,455881.50,146541.74,,-146541.74,,
5849,12-Aug-2016,200173,nil,12-Aug-2016,BM0Z1K1,25356.00,28652.28,45450.00,51131.25,22478.97,,-22478.97,,
3401,2-Mar-2016,200174,nil,2-Mar-2016,BM0P0U7,7301.78,8251.01,7301.78,8214.50,36.51,,36.51,,
4167,18-Apr-2016,200176,nil,18-Apr-2016,BM0P1I5,7308.00,7673.40,70531.80,74058.39,66384.99,,-66384.99,,
3659,13-Apr-2016,200177,nil,13-Apr-2016,BM0O8K9,5142.00,5810.46,63123.00,71013.38,65202.92,,-65202.92,,
407,7-May-2015,200178,nil,7-May-2015,BM1A7I2,201724.00,227948.12,319754.00,359723.25,131775.13,,-131775.13,,
2912,16-Feb-2016,200179,nil,16-Feb-2016,BM1G1G2,8250.00,9322.50,8250.00,9281.25,41.25,,41.25,,
2658,3-Nov-2015,200180,nil,3-Nov-2015,BM0O4E0,156400.00,176732.00,156400.00,175950.00,782.00,,782.00,,
3141,30-Jan-2016,200182,nil,1-Mar-2016,BM0L8J3,25650.00,28984.50,25650.00,28856.25,128.25,,128.25,,
3305,15-Feb-2016,200183,nil,15-Feb-2016,BM0Z1D9,1400.00,1582.00,16255.00,18286.88,16704.88,,-16704.88,,
3307,16-Feb-2016,200187,nil,16-Feb-2016,BM0C7P6,336.00,352.80,486.00,510.30,157.50,,-157.50,,
3354,23-Feb-2016,200188,nil,23-Feb-2016,BM0C7Q5,165.00,173.25,315.00,330.75,157.50,,-157.50,,
4598,11-Jun-2016,200192,nil,11-Jun-2016,BM0Z0N7,1575.00,1669.50,8885.00,9418.10,7748.60,,-7748.60,,
3006,7-Jan-2016,200195,nil,8-Feb-2016,BM0O4A5,22145.00,25023.85,22145.00,24913.13,110.72,,110.72,,
1015,17-Jun-2015,200196,nil,17-Jun-2015,BM0O4A9,18742.00,21178.46,19542.00,21984.75,806.29,,-806.29,,
1053,8-Jun-2015,200197,nil,8-Jun-2015,BM1A6E9,7016.00,7928.08,7016.00,7893.00,35.08,,35.08,,
1266,21-Aug-2015,200199,nil,2-Sep-2015,BM0C8G9,3662.00,4138.06,16729.00,18820.13,14682.07,,-14682.07,,
4093,19-Apr-2016,200200,nil,19-Apr-2016,BM1B0I6,10000.00,11300.00,10000.00,11250.00,50.00,,50.00,,
1401,25-Jul-2015,200202,nil,26-Aug-2015,BM1A6W6,592.00,668.96,141552.60,159246.68,158577.72,,-158577.72,,
4193,6-May-2016,200203,nil,6-May-2016,BM1B2S1,193125.00,218231.25,204125.00,229640.63,11409.38,,-11409.38,,
4277,17-May-2016,200204,nil,17-May-2016,BM0O8L2,1174.80,1327.52,123299.14,138711.53,137384.01,,-137384.01,,
4316,2-May-2016,200205,nil,2-May-2016,BM1B2H8,820.00,926.60,18040.00,20295.00,19368.40,,-19368.40,,
4455,10-May-2016,200206,nil,10-May-2016,BM0O7M9,110.00,126.50,8960.00,10304.00,10177.50,,-10177.50,,
2065,13-Sep-2015,200207,nil,13-Sep-2015,BM0C7U5,338.00,381.94,27304.00,30717.00,30335.06,,-30335.06,,
1587,22-Aug-2015,200208,nil,9-Jan-2016,BM0C7R1,1308.00,1373.40,954111.70,1001817.29,1000443.89,,-1000443.89,,
2005,30-Sep-2015,200209,nil,30-Sep-2015,BM1A8K1,320.00,339.20,57640.00,61098.40,60759.20,,-60759.20,,
2008,2-Sep-2015,200210,nil,2-Sep-2015,BM0C8U9,216.00,226.80,15725.00,16511.25,16284.45,,-16284.45,,
1765,2-Oct-2015,200212,nil,24-Nov-2015,BM1A8W7,31669.02,32302.40,811861.79,828099.03,795796.63,,-795796.63,,
2058,8-Nov-2015,200213,nil,8-Nov-2015,BM0C9F8,1932.00,2183.16,164256.00,184788.00,182604.84,,-182604.84,,
2927,23-Dec-2015,200214,nil,23-Dec-2015,BM1B0H8,270.00,305.10,270.00,303.75,1.35,,1.35,,
3099,28-Jan-2016,200215,nil,2-Mar-2016,BM1A3Y2,3572.00,3750.60,129257.00,135719.85,131969.25,,-131969.25,,
3355,23-Feb-2016,200216,nil,23-Feb-2016,BM1A5I6,5875.00,6638.75,18407.00,20707.88,14069.13,,-14069.13,,
3616,30-Mar-2016,200217,nil,30-Mar-2016,BM1A5W1,4075.00,4604.75,4075.00,4584.38,20.38,,20.38,,
4032,6-Apr-2016,200218,nil,6-Apr-2016,BM1A9Q7,950.00,1073.50,950.00,1068.75,4.75,,4.75,,
3573,21-Mar-2016,200219,nil,21-Mar-2016,BM1A5T6,2558.00,2890.54,12713.00,14302.13,11411.59,,-11411.59,,
