inquiry_number,products,status,tat,time
32534,2,Cross Reference,22,00:21:03
32534,2,New Inquiry,0,00:00:00
31060,0,Regret,1112,18:31:02
32533,0,New Inquiry,0,00:00:00
32268,1,Preparing Quotation,18,00:17:39
32268,1,Preparing Quotation,18,00:17:38
32268,1,Preparing Quotation,18,00:17:38
32268,1,Preparing Quotation,18,00:17:37
32510,1,Draft SO for Approval by Sales Manager,1,00:00:20
32055,7,Expected Order,264,04:23:03
32055,7,Quotation Sent,259,04:18:24
32510,1,Draft SO for Approval by Sales Manager,1,00:00:01
32510,1,Quotation Sent,1,00:00:01
32510,1,Preparing Quotation,1,00:00:11
31998,0,Order Lost,386,06:25:11
32510,1,Quotation Sent,1,00:00:07
31987,0,Order Lost,402,06:41:35
32042,0,Order Lost,362,06:01:11
32510,1,Preparing Quotation,1,00:00:03
32532,0,New Inquiry,0,00:00:00
32510,1,Preparing Quotation,1,00:00:01
32510,1,Cross Reference,19,00:18:23
32531,0,New Inquiry,0,00:00:00
32530,0,New Inquiry,0,00:00:00
32529,0,New Inquiry,0,00:00:00
32528,0,New Inquiry,0,00:00:00
32527,0,New Inquiry,0,00:00:00
32526,0,New Inquiry,0,00:00:00
32525,0,New Inquiry,0,00:00:00
31946,9,Order Lost,1,00:00:13
32524,0,New Inquiry,0,00:00:00
31946,9,Quotation Sent,408,06:47:02
32523,0,New Inquiry,0,00:00:00
31723,19,Preparing Quotation,596,09:55:10
30772,3,Rejected by Accounts,4,00:03:56
32482,2,Quotation Sent,1,00:00:03
32482,2,Preparing Quotation,1,00:00:43
32522,0,New Inquiry,0,00:00:00
32517,11,SO Draft: Pending Accounts Approval,1,00:00:14
30777,12,SO Draft: Pending Accounts Approval,1,00:00:37
32517,11,Draft SO for Approval by Sales Manager,1,00:00:06
32268,1,Cross Reference,175,02:54:29
31460,19,Cross Reference,771,12:50:24
32517,11,Quotation Sent,1,00:00:10
32372,1,Cross Reference,79,01:18:20
32517,11,Quotation Sent,1,00:00:01
32512,1,Quotation Sent,1,00:00:02
32519,0,Acknowledgement Mail,1,00:00:08
32517,11,Preparing Quotation,1,00:00:06
32351,2,Expected Order,81,01:20:28
32512,1,Preparing Quotation,1,00:00:01
32521,5,Cross Reference,0,00:00:00
32520,1,Cross Reference,0,00:00:00
32512,1,Cross Reference,1,00:00:46
32347,1,Preparing Quotation,1,00:00:00
32347,1,Cross Reference,98,01:37:04
32517,11,Cross Reference,1,00:00:05
32519,0,New Inquiry,0,00:00:00
32513,1,Quotation Sent,1,00:00:00
32518,0,Acknowledgement Mail,1,00:00:02
32513,1,Preparing Quotation,1,00:00:01
32458,1,Quotation Sent,1,00:00:01
32513,1,Preparing Quotation,1,00:00:00
32513,1,Cross Reference,1,00:00:17
32458,1,Preparing Quotation,1,00:00:00
32458,1,Cross Reference,28,00:27:02
32518,0,New Inquiry,0,00:00:00
32517,11,New Inquiry,0,00:00:00
32322,0,Regret,104,01:43:59
32516,0,New Inquiry,0,00:00:00
30777,12,Draft SO for Approval by Sales Manager,1,00:00:06
32502,1,Quotation Sent,1,00:00:00
32515,0,New Inquiry,0,00:00:00
32502,1,Preparing Quotation,1,00:00:00
32482,2,Cross Reference,8,00:07:05
32473,10,Preparing Quotation,25,00:24:28
32502,1,Cross Reference,3,00:02:38
32466,3,Quotation Sent,1,00:00:09
30777,12,Quotation Sent,1,00:00:00
30777,12,Preparing Quotation,1206,20:05:48
32514,0,New Inquiry,0,00:00:00
31716,2,SO Draft: Pending Accounts Approval,1,00:00:24
30277,11,SO Draft: Pending Accounts Approval,1,00:00:18
30777,12,Preparing Quotation,1206,20:05:44
32409,3,Quotation Sent,1,00:00:22
32513,1,Acknowledgement Mail,1,00:00:00
32513,1,New Inquiry,0,00:00:00
32466,3,Preparing Quotation,1,00:00:19
32476,6,Regret,7,00:06:48
31997,2,Regret,362,06:01:10
31673,1,Regret,511,08:30:14
31522,2,Regret,511,08:30:12
32314,1,Follow Up on Quotation,75,01:14:35
31478,2,Regret,248,04:07:37
32314,1,Regret,0,23:59:59
31477,2,Regret,511,08:30:10
30365,3,Order Lost,454,07:33:16
30277,11,Draft SO for Approval by Sales Manager,1,00:00:51
31131,22,Regret,511,08:30:01
32466,3,Cross Reference,26,00:25:20
31716,2,Draft SO for Approval by Sales Manager,2,00:01:16
32409,3,Preparing Quotation,3,00:02:29
32512,1,New Inquiry,0,00:00:00
31716,2,Quotation Sent,2,00:01:34
30777,12,Quotation Sent,1,00:00:00
30777,12,Preparing Quotation,1206,20:05:17
32511,3,Acknowledgement Mail,1,00:00:02
32484,1,SO Draft: Pending Accounts Approval,6,00:05:12
32348,1,SO Draft: Pending Accounts Approval,5,00:04:21
32475,2,SO Draft: Pending Accounts Approval,3,00:02:23
32480,2,SO Draft: Pending Accounts Approval,3,00:02:23
32511,3,New Inquiry,0,00:00:00
32501,2,SO Draft: Pending Accounts Approval,2,00:01:52
32038,4,SO Draft: Pending Accounts Approval,2,00:01:27
30934,2,SO Draft: Pending Accounts Approval,1,00:00:48
32330,1,SO Draft: Pending Accounts Approval,1,00:00:01
32330,1,Draft SO for Approval by Sales Manager,1,00:00:00
32330,1,Quotation Sent,1,00:00:00
32330,1,Preparing Quotation,79,01:18:24
29391,1,Order Won,2356,15:15:31
31693,0,Regret,600,09:59:32
27534,4,Order Lost,2212,12:51:20
32510,1,New Inquiry,0,00:00:00
28270,4,Regret,2212,12:51:13
31723,19,Preparing Quotation,579,09:38:16
