product_id,bm_number,product_name,product_dsc,category_name,brand_name
3692,BM1A8P3,T Shirts - Xl,,Shirts and T-Shirts,Legacy Brand
3136,BM1A8E5,"Atj - 210"" Jack Lift",,Accessories,Legacy Brand
29657,BM9G7M2,PPH Ball valve Fusion Socket end 15 NB - BM9G7M2,,Ball Valves,Legacy Brand
40751,BM9Y6S7,Grinding Wheel AG 7 for Stainless Steel,,Grinding Wheels,Legacy Brand
37251,BM9M7C9,BULK MRO APPROVED Coil for MNX 550,,Switches,Legacy Brand
29658,BM9G7M3,PPH Ball valve Fusion Socket end 25 NB - BM9G7M3,,Ball Valves,Legacy Brand
2453,BM1A5F6,"Stud, 1/4-20 X 50L, Titanium",,Miscellaneous Screws,Legacy Brand
2208,BM1A9E9,"STANLEY Cushion Grip Phillips, 2 x 200 mm STHT65170-8",,Office Supplies,Legacy Brand
29670,BM9G7N6,"SS-304 Barrel nipple with BSP threading male on both ends, Sch 40 pipe 15 NB - BM9G7N6",,Stainless Steel Pipe Fittings,Legacy Brand
3285,BM1A6G6,"T Shirts, XXXL",,Shirts and T-Shirts,Legacy Brand
2454,BM1A5F5,"Washer, Lock, 1/4, Titanium",,Lock Washers,Legacy Brand
35892,BM9L9D1,BEND SHORT  3'' SCH-40 SS316,,Stainless Steel Pipe Fittings,Legacy Brand
6153,Freight,Shipping And Packing,,Packing and Forwarding,Legacy Brand
2590,BM1A3Y0,Demand Valve R 860 Set Of 1St And 2Nd Stage,,Ball Valves,Legacy Brand
2246,BM1A5W1,First Aid Box Made Of Ss / Plastic Contents The Following,,First Aid Kits and Accessories,Legacy Brand
29676,BM9G7P3,PPH Socket For 25 NB pipe - BM9G7P3,,Stainless Steel Pipe Fittings,Legacy Brand
2455,BM1A5F4,"Washer, Flat, 1/4 X .75Dia, Titanium",,Flat Washers,Legacy Brand
37281,BM9M7G3,BULK MRO APPROVED T Handle Stop Cable - 03-2018,,Wire Connectors,Legacy Brand
2456,BM1A5F3,"Nut, 1/4-20, 5/32Thk, Titanium",,Miscellaneous Nuts,Legacy Brand
37283,BM9M7G5,"BULK MRO APPROVED 1/4"" 18-8 Stainless Steel Set Screw Cup Point, Dia 5/16"", Thread 24",,Socket Sets,Legacy Brand
3309,BM1A8A8,Spring F3639610,,Accessories,Legacy Brand
2278,BM1A5S0,"Sticky Mats 45Cm X 115 Cm, 30 Sheets In 1 Mat Blue - BM1A5S0",,Accessories,Legacy Brand
2283,BM1A5U1,Silver Oak Wood 1000 X 150 X 32mm,,Accessories,Legacy Brand
35893,BM9L9D3,FLANGE SORF  3'' ASA-150 SS31,,Stainless Steel Pipe Fittings,Legacy Brand
29677,BM9G7P4,PPH Socket For 15 NB pipe - BM9G7P4,,Stainless Steel Pipe Fittings,Legacy Brand
29678,BM9G7P5,PPH Socket For 25 NB pipe - BM9G7P5,,Stainless Steel Pipe Fittings,Legacy Brand
2468,BM1A5E7,Insertion Tool For M4 Insert,,Turning Inserts,Legacy Brand
2316,BM1A9J9,Electrical Gloves (11Kv),,Electrical Gloves,Legacy Brand
2605,BM1A4W3,Wire Stripper - BM1A4W3,,Wire Strippers and Slitters,Legacy Brand
2606,BM1A4W2,"Permanent Pen Marker, Color Black",,Markers and Highlighters,Legacy Brand
29679,BM9G7P6,PPH Socket For 15 NB pipe - BM9G7P6,,Stainless Steel Pipe Fittings,Legacy Brand
2607,BM1A4W1,Remote Cell Pencil - Type Aaa,,Accessories,Legacy Brand
2608,BM1A4W0,M Seal - Size Small,,Valve Sealants,Legacy Brand
2609,BM1A4V9,Insulation Tape - BM1A4V9,,Masking Tapes,Legacy Brand
2327,BM0Z1I6,Vacuum leak detector,,Accessories,Legacy Brand
2610,BM1A4V8,Packing Tape (Brown Colour) - 2 Inch Width,,Packaging Tapes,Legacy Brand
2952,BM1A8V4,503GT001 Series Immersion Suit S1-503GT001-Ylny- 2Xlt - Training Suit,,Immersion Survival and Rescue Suits,Legacy Brand
2611,BM1A4V7,Paint Marker - Blue & Red,,Paint Markers,Legacy Brand
4426,BM0O7N8,10.8 mm Metric Drill Bit High Speed Steel J 10.8,,Tap and Drill Sets,Legacy Brand
2612,BM1A4V6,Loctite 406 - BM1A4V6,,Speciality Sealant,Legacy Brand
2613,BM1A4V5,"Fevi Kwick - 3Gm, 10 Packets Of 5",,Adhesives and Glue,Legacy Brand
2339,BM1A5S2,Oxygen Cylinder With Accessaries (660 Ltrs) With Accessaries,,Cylinders,Legacy Brand
29680,BM9G7P7,MS Flat 100 x 5 mm - BM9G7P7,,Assortments,Legacy Brand
2364,BM0Z1J1,Gasket set,,Gaskets,Legacy Brand
